标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量
,70,,姜韶平,姜韶平-眯眼笑,,,哈哈哈，我当时才是被小夏吓了一跳。,,,蒙版结束,,,,,
,71,,,,,,好啦，把叙旧留给庆功宴，你先去准备吧。,,,,,,,,
,72,,夏伦,空,夏伦-装可怜,,好好好，一到演出就领导模式附体，我去就是了。,,,,,,,,
,73,,,,夏伦-平淡,,喔对了，刚才我好像看到那写歌的小朋友了。,,,,,,,,
,74,,姜韶平,姜韶平-惊讶,,,海心吗？她居然来了？在哪儿？,,,,,,,,
,75,,夏伦,空,,,在舞台那边，我看staff们都急急忙忙的，发生什么事了?,,,,,,,,
,76,,姜韶平,,,,嗯…就是在忙吧。,,,,,,,,
,77,,,,,姜消失,我得去看看她，那边现在在布景，要是撞到或者绊倒就不好了，待会见啊小夏！,,,,,,,,
,78,,夏伦,空,夏伦-惊讶,夏远,诶，等等——,,,,,,,,
,79,,,,夏伦-平淡,,……,,,,,,,,
,80,,,,夏伦-闭眼,,算了，我们进去吧。,,,,,,,,
,81,,,,,转场,,,,,,,,,
,82,舞台,,,张海心-默认-全身,<操作>点击角色,,,,,,,,,
,83,,姜韶平,姜韶平-呼喊,,,海心！,,,,,,,,
,84,,张海心,空,张海心-默认-全身,,……？,,,,,,,,
,85,,姜韶平,姜韶平-惊讶,张海心-默认,姜近张远,你怎么在这儿？,,,,,,,,
,86,,张海心,空,,,……,,,,,,,,
,87,,,,张海心-侧目,,我不能来吗？,,,,,,,,
,88,,姜韶平,姜韶平-慌乱,,,没有没有，我是想说，要是知道你会来我该去接你的。,,,,,,,,
,89,,张海心,空,张海心-默认,,嗯,,,,,,,,
,90,,姜韶平,姜韶平-默认,,,我带你去休息室吧，这里人来人往，还乱糟糟的。,,,,,,,,
,91,,张海心,空,,,……,,,,,,,,
,92,,张海心,,,,这里的音响，有几个？,,,,,,,,
,93,,姜韶平,姜韶平-默认,,,音响？左右各一个，这剧场挺小的。,,,,,,,,
,94,,张海心,空,,,现在能试音吗？,,,,,,,,
,95,,姜韶平,姜韶平-苦恼,,,试音吗……其实刚才已经试过了，效果很好，现在staff忙别的去了。,,,,,,,,
,96,,张海心,空,张海心-下目,,…………行。,,,,,,,,
,97,,姜韶平,姜韶平-强颜欢笑,,,等她忙完了我去问问还能再试一遍不，你想试哪段？,,,,,,,,
,98,,张海心,空,张海心-默认,,算了。也不用。,,,,,,,,
,99,,姜韶平,姜韶平-疑问,,,是有什么在意的地方吗？,,,,,,,,
,100,,张海心,空,,,没什么。,,,,,,,,
,101,,,,张海心-下目,,只是，有点不太习惯。,,,,,,,,
,102,,姜韶平,姜韶平-疑问,,,什么？,,,,,,,,
,103,,张海心,空,张海心-默认,,不太习惯，坐在观众席上听自己写的音乐被别人演奏。,,,,,,,,
,104,,旁白,,,,张海心是个自由的乐队人，直到被你遇上。,,,蒙版,,,,,
,105,,,,,,你对她的身世不甚了解，只知道她大约是高中生的年纪，却从来没见上过学。,,,,,,,,
,106,,,,,,她住在一家地下Live House里，但那里的老板又似乎不是她的监护人。,,,,,,,,
,107,,,,,,她有一支固定的乐队，在那里担当主唱和贝斯，并负责作曲；她平时沉默寡言，一口气说得最多的话是歌词。,,,,,,,,
,108,,,,,,至于为什么她会成为你音乐剧的作曲——那自然是她天赋异禀，在音乐上极富有才华，以及——要价很低。,,,,,,,,
,109,,,,,,就是这样一个有些神秘的家伙，也不难在其中发现独属于叛逆期孩子的脾性。,,,,,,,,
,110,,,,,,相处这段时间下来，你已经有了些心得。,,,,,,,,
,111,,姜韶平,姜韶平-欣慰,,,这样啊。,,,蒙版结束,,,,,
,112,,,,,,的确，我也一样。,,,,,,,,
,113,,张海心,空,张海心-默认,,什么？,,,,,,,,
,114,,姜韶平,姜韶平-欣慰,,,我也和你一样，还没有过在一旁从头到尾不加干预地，只像个普通观众般看完一部自己写的戏呢。,,,,,,,,
,115,,,,,,到那时候，我想，我应该也会很不习惯吧。,,,,,,,,
,116,,张海心,空,张海心-睁大眼,,…………,,,,,,,,
,117,,,,,,嗯。,,,,,,,,
,118,,工作人员,,,,——姜导！师傅来了！,,,,,,,,
,119,,姜韶平,姜韶平-欣慰,,,真的吗！谢天谢地！,,,,,,,,
,120,,,,,,等我一下，我马上过去！,,,,,,,,
,121,,,,,,海心，你从这边穿过舞台后左拐，那边有休息室，去那里先等等吧。,,,,,,,,
,122,,,,,,如果找不到路就问问工作人员！,,,,,,,,
,123,,张海心,空,,姜消失,知道了,,,,,,,,
,124,,姜韶平,,,张近姜远,——千万别进错成贵宾室了啊！陈姐在里面休息呢！,,,,,,,,
,125,,张海心,空,张海心-不爽,,知道了！,,,,,,,,
,126,,,,,转场,,,,,,,,,
,127,剧院走廊,,,姜韶平-默认-全身,<操作>点击角色,,,,,,,,,
,128,,姜韶平,姜韶平-叹气,,,总算赶上了……,,,,,,,,
,129,,,姜韶平-咬牙,,,我看看账单……要死，加急费居然这么贵！？,,,,,,,,
,130,,,姜韶平-叹气,,,唉，算了。只要演出能顺利……,,,,,,,,
,131,,,姜韶平-慌乱,,,！,,开门,,,,,,
,132,,夏伦,空,夏伦-默认-演出服,姜近夏远,在那看什么呢小平，等你好久了。,,收起纸张,,,,,,
,133,,姜韶平,姜韶平-慌乱,,,没、没什么，我正打算进去。,,,,,,,,
,134,,夏伦,空,夏伦-笑盈盈-演出服,,~,,,,,,,,
,135,,旁白,,,,夏伦笑盈盈地看着你，似乎在等你说些什么。,,,,,,,,
&,136,,,,,,夸妆发,138,,,,,,,
&,137,,,,,,聊服饰,149,,,,,,,
#,138,,姜韶平,姜韶平-惊讶,,,虽然小夏平时就很漂亮，但我还是第一次见你完妆的样子。,,,,,,,,
,139,,姜韶平,姜韶平-兴奋,,,简直太美了，小夏！,,,,,,,,
,140,,夏伦,空,,,嗯哼~谢谢。,,,,,,,,
,141,,夏伦,空,夏伦-装可怜-演出服,,第一次吗，看来小平从没来看过我的戏，有点伤心。,,,,,,,,
,142,,,,,,明明人家还是演过几场话剧的。,,,,,,,,
,143,,姜韶平,姜韶平-慌乱,,,不是不是，是你的戏太热门了，每次我看到消息的时候都已经售罄了！,,,,,,,,
,144,,,,,,等下次有机会，我会拼命抢第一排位置的！,,,,,,,,
,145,,夏伦,空,夏伦-坏笑-演出服,,那应该没有这种下次了。,,,,,,,,
,146,,姜韶平,姜韶平-慌乱,,,啊？,,,,,,,,
,147,,夏伦,空,,,这次和以后，你都会坐在预留席位上了。,,,,,,,,
,148,,姜韶平,姜韶平-脸红,,,对、对哦……你说得也对。,158,,,,,,,
,149,,姜韶平,姜韶平-兴奋,,,这身衣服比我想象中还要适合你，穿着还合身吗？,,,,,,,,
,150,,夏伦,空,夏伦-默认-演出服,,很合适，合适到严丝合缝。,,,,,,,,
,151,,,,,,没想到就几年不见，小平连戏服都会做了。现在还有什么是你不会的？,,,,,,,,
,152,,姜韶平,姜韶平-默认,,,我只是按脑海里对角色和小夏的共同印象出了一版设计而已，也没那么厉害。,,,,,,,,
,153,,夏伦,空,夏伦-开朗-演出服,,说真的，你已经可以一个人包揽整个剧团的工作了，干脆下次和我一起上台演吧。,,,,,,,,
,154,,姜韶平,姜韶平-惊讶,,,我、我吗？不行不行，不太行。,,,,,,,,
,155,,,姜韶平-脸红,,,你又不是不知道，我一上台就，就容易结巴……,,,,,,,,
,156,,夏伦,空,,,喔，你是说敬师日的那次……,,,,,,,,
,157,,姜韶平,姜韶平-恼羞成怒,,,可以了！不要在这种时候提起演出失败的惨痛回忆了！不吉利的！,158,,,,,,,
,158,,姜韶平,姜韶平-强装镇定,,,咳咳，不说这些了，你戏过了吗？,,,选项文本收束,,,,,
,159,,夏伦,空,夏伦-平淡-演出服,,放心，这戏的时长还不到我之前演过的一半。,,,,,,,,
,160,,,,,,倒是你刚才干什么去了？,,,,,,,,
,161,,姜韶平,姜韶平-强装镇定,,,就是……再和工作人员对接一下舞台布景的事情。,,,,,,,,
,162,,,,,,已经都搞定了，不用担心。,,,,,,,,
,163,,夏伦,空,,,也别太紧绷了，小平。真正的演出没你想的那么庄重，上台后一切都会顺其自然的。,,,,,,,,
,164,,,,夏伦-默认-演出服,,何况你的主演还是我。,,,,,,,,
,165,,姜韶平,姜韶平-苦笑,,,谢谢你，小夏。我知道的，只是……,,,,,,,,
,166,,旁白,空,,蒙版,只是叫你怎么不紧绷。,,,,,,,,
,167,,,,,,和机会俯拾即是的夏伦不同，你耗费了近8年的时间和这辈子都不知道是否会有第二次的运气才走到了这里。,,,,,,,,
,168,,,,,,你不能失败，你不会再回到那个养育你又桎梏你的地方，尽管这听上去很忘恩负义。,,,,,,,,
,169,,,,,,修院的院长——你的养母，那个慈爱、悲悯而虔诚的女人，恐怕直到今天也无法理解，在年少的你第一次进入剧院那天，自幼在戒律笼罩下的大脑被舞台上肆意宣泄的情绪彻底翻新的感觉。,,,,,,,,
,170,,,,,,在你拒绝了神学院的邀请，转而申报了演艺学院后，你逐渐感受到来自“家”的疏离与隔阂。,,,,,,,,
,171,,,,,,母亲从不会和你争吵，你静悄悄地离开了。,,,,,,,,
,172,,,,,,自中学毕业后，你便搬了出去。,,,,,,,,
,173,,,,,,独自生活并不容易，却也没想象中艰难。你照常学习、工作、考试，终于在第二年攒到了第一年的学费，并顺利通过入学考试，迈向你梦想的第一步。,,,,,,,,
,174,,,,,,而现在——,,,,,,,,
,175,,舞台监督,,,,——演员来集合了！,,,,,,,,
,176,,姜韶平,姜韶平-闭眼,,,……,,,,,,,,
,177,,,姜韶平-默认,,,我们走吧，小夏。,,,,,,,,
,178,,,,,,演出要开始了。,,,,,,,,
,179,,夏伦,空,夏伦-坏笑-演出服,,呵呵，庆功香槟准备好了吗。,,,,,,,,
,180,,姜韶平,姜韶平-默认,,,当然，要多少有多少。,,,,,,,,
,181,,旁白,空,,,——现在，梦想的序幕即将上演。,,,,,,,,
,182,,空,空,空,黑屏,,,,,,,,,
,183,,旁白,,,,你头一回意识到，原来黑暗也是有声音的。,,,,,,,,
,184,,,,,,灰尘在空气中翻飞、观众在舞台下呼吸、演员们的衣服细细摩挲、心跳在骨腔内震耳欲聋。,,,,,,,,
,185,,,,,,然后——,,,,,,,,
,186,舞台,,,,CG-舞台开场,灯光如尖叫般划开黑暗。,,,,,,,,
,187,,,,,,乐队以一首颇具现代风格的曲子开场，随后主演登台。观众席传来了轻微的躁动——这和他们对原作的认知相去甚远。,,,,,,,,
,188,,,,,,对经典文本进行再演绎是音乐剧常见的创作路径，只是这次你并未以原作主角的命运为主线，而是将主视角转向另一位角色——一位长久以来都被视为男主角悲剧映衬的女性角色身上。,,,,,,,,
,189,,,,,,夏伦的演绎完全不像一位纯洁无害的贵族小姐，倒像一位高傲而疯狂的领主，而这正是你所看重的。,,,,,,,,
,190,,,,,,“她”伶牙俐齿，极富攻击性。音乐随着“她”的唱词节节跳动，时而欢快，时而激烈，时而深沉。,,,,,,,,
,191,,,,,CG-舞台近景,随着情节的深入，你感到现场的所有人都在渐渐入戏，演员、观众和乐队，所有人的呼吸逐渐同频，思想逐渐共振，一同等待着最后的情绪宣泄口——这就是你喜欢音乐剧的原因。,,,,,,,,
,192,,,,,,看着自己努力数月的心血被搬上舞台的感觉真的很奇妙。,,,,,,,,
,193,,,,,,而首次演出的效果也超乎你想象的好。,,,,,,,,
,194,,,,,CG-舞台远景,你看向观众席，二楼贵宾席的陈姐浅笑着，看上去很满意；海心坐在角落的位置，专注地听着；舞台上的夏伦游刃有余，仿佛她天生就是为演戏而生。,,,,,,,,
,195,,,,,,一切都很顺利。,,,,,,,,
,196,,,,,,最后的高潮来了。,,,,,,,,
,197,,,,,CG-夏伦的坠落-1.1,“她”的命运并没有被改写，但“她”不会成为那具被后世所凝视的水中艳尸，而是要高昂地攀上城堡顶端，吸引所有人的目光，向所有人呐喊、嘲笑，然后在众目睽睽之下坠河死去。,,,,,,,,
,198,,,,,,夏伦穿着长裙，娴熟地登上方才刚刚搭好的脚架，那里即是“她”的城堡。,,,,,,,,
,199,,,,,CG-夏伦的坠落-1.2,“让这些昭示着命运的花就这样枯萎吧！”,,,,,,,,
,200,,,,,,“让我自掘坟墓！让我堕下炼狱！当冠以虚伪之名的悲伤散去，你们就会知道是谁害死了谁——,,,,,,,,
,201,,,,,CG-夏伦的坠落-2,,,,,,,,,
,202,,,,,CG-夏伦的坠落-3,最后一幕。,,,,,,,,
,203,,,,,,灯光将会熄灭。,,,,,,,,
,204,,,,,,主演会将戏服的裙摆扯下，在余光中营造坠楼的景象。随后从后方安全下撤。,,,,,,,,
,205,,,,,,本该如此的，这是你设计好的。,,,,,,,,
,206,,,,,CG-夏伦的坠落-4,本该如此的。,,,,,,,,
,207,,,,,,这不是真的。,,,,,,,,
,208,,,,,CG-夏伦的坠落-5,,,,,,,,,
,209,,姜韶平,,,,…………夏,,耳鸣,,,,,,
,210,,旁白,,,,这不是真的。,,,,,,,,
,211,,空,空,空,黑屏,,,,,,,,,
,212,,姜韶平,,,,————小夏！！,,人群慌乱,,,,,,
,213,,,,,CG-序章报幕,,,,,,,,,
,,,,,,PV,,,,,,,,,
