标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,背景音乐
,115,,,,,,你对她的身世所知不多，只知道她大约是高中生的年纪，却从来没见上过学。,,,,,,,,,,
,116,,,,,,她从来没有固定的乐队，哪里需要她，就去哪里弹琴，呆上一阵，就又离开。,,,,,,,,,,
,117,,,,,,她不爱说话，却在音乐创作上有着野性十足的天赋和表达欲。,,,,,,,,,,
,118,,,,,,她不爱说话，却在音乐创作上有着野性十足的天赋和表达欲。古典、爵士、摇滚、电子乐……几乎没有她不会的。,,,,,,,,,,
,119,,,,,,有了她写的旋律，再请位编曲师做包装，就能搭起整部戏多样化的音乐表达。,,,,,,,,,,
,120,,,,,,而且，她的要价真的很低,,,,,,,,,,
,121,,,,,,就是这样一个看似桀骜不驯的家伙，却又带着些独属于少年人的脾性。,,,,,,,,,,
,122,,,,,,相处这段时间下来，你倒也有了些心得。,,,,,,,,,,
,123,,姜韶平,姜韶平-无奈笑,,,这样啊。,,,,,,,,,,
,124,,,,,,的确，我也一样。,,,,,,,,,,
,125,,张海心,空,张海心-默认,,？,,,,,,,,,,
,126,,姜韶平,姜韶平-欣慰,,,我也和你一样，还没有过在一旁从头到尾不加干预地，只像个普通观众般看完一部自己写的戏呢。,,,,,,,,,,
,127,,,,,,到那时候，我想，我应该也会很不习惯吧。,,,,,,,,,,
,128,,张海心,空,张海心-睁大眼,,…………,,,,,,,,,,
,129,,,,张海心-默认,,嗯。,,,,,,,,,,
,130,,姜韶平,姜韶平-默认,,,不闲聊了，你先去休息室等吧，舞台这边还在搭，不太安全。,,,,,,,,,,
,131,,张海心,空,,,行。,,,正渐出+音量渐入减小,,,,,,,
,132,,姜韶平,姜韶平-叹气,空,,（唉，师傅加油啊。）,,,背渐出,,,,,,,
,133,,旁白,空,空,黑屏,你进到舞台侧后方的储物室，想着给师傅们拿点水。舞台并不远，应该能整扎搬过去。,,,,,,,,,,
,134,,姜韶平,,,,嘿咻——！,,,,,,,,,,
,135,,空,,,CG-撞上了,,,,CG渐入+音量渐出恢复+画面抖动一下,,,,,,,
,136,,姜韶平,,,,啊——！,,,,,,,,,,
,137,,,,,,抱歉抱歉，没撞疼你吧？,,,,,,,,,,
,138,,张海心,,,,唔……,,,,,,,,,,
,139,,张海心,,,,你在干什么？,,,,,,,,,,
,140,,姜韶平,,,,想着给师傅们拿点水……没想到会这么重。,,,,,,,,,,
,141,,张海心,,,,……要帮忙吗？,,,,,,,,,,
,142,,空,,,,,,小刀划开,,,,,,,,
,143,,旁白,,,CG-要搭把手吗？,你们用裁纸刀将整扎水一分为二，一人抱一半。,,空,CG渐入,,,,,,,
,144,,姜韶平,,,,谢谢你，海心，帮大忙了。,,,,,,,,,,
,145,,姜韶平,,,,你怎么会忽然到储物室里来？,,,,,,,,,,
,146,,张海心,,,,……走错了。,,,,,,,,,,
,147,,张海心,,,,为什么这种事要你来做？你不是头儿吗？,,,,,,,,,,
,148,,姜韶平,,,,我是制作人嘛，哪里需要帮忙就见缝插针补上了。,,,,,,,,,,
,149,,张海心,,,,制作人，原来是打杂的。,,,,,,,,,,
,150,,姜韶平,,,,……无法反驳。,,,,,,,,,,
,151,,旁白,,,CG-要搭把手吗？-赵工-1,你们把水搬到舞台上。现场少了两个工人，还有工人在已经搭好大半的脚架上和下面的人有说有笑地闲聊。,,,,,,,,,,
,152,,姜韶平,,,,赵工，给您这边拿了点水，您和师傅们都辛苦了。,,,,,,,,,,
,153,,赵工,,,,多谢，多谢。,,,,,,,,,,
,154,,姜韶平,,,,赵工，您也知道演出时间临近了，能不能请师傅们再加紧些呢？,,,,,,,,,,
,155,,旁白,,,,你看到工头和几位工人交换了下眼神。,,,,,,,,,,
,156,,赵工,,,,我知道，我知道，但你这需求太临时，我们也只能说尽力而为，尽力而为。,,,,,,,,,,
,157,,姜韶平,,,,可是今天您接下单的时候说是肯定能赶上的！,,,,,,,,,,
,158,,赵工,,,,情况有变，花的时间比我们想的要长。,,,,,,,,,,
,159,,,,,,小妹，工时一长，这费用可得按工时加点哈。,,,,,,,,,,
,160,,姜韶平,,,,这跟说好的不一样，我已经支付了你们加急费用。,,,,,,,,,,
,161,,赵工,,,,我们已经在加急做了，但时间一长，不加钱工人们心里不舒服，干不积极的。,,,,,,,,,,
,162,,姜韶平,,,,怎么这——,,,,,,,,,,
,163,,旁白,,,CG-要搭把手吗？-赵工-2,咚——！,,重物摔落,音乐暂停+画面抖动一下,,,,,,,
,164,,姜韶平,,,,！,,,,,,,,,,
,165,,旁白,,,,半扎矿泉水砸在地上，溅出的水沾湿了三人的裤脚。,,,,,,,,,,
,166,,张海心,,,,…………,,,,,,,,,,
,167,,赵工,,,,……,,,,,,,,,,
,168,,,,,,反正你们看着办吧，我这边也要给工人们一个交代。,,,,,,,,,,
,169,,旁白,,,,赵工一脸无所谓地耸耸肩，眼见着冲突就要爆发，你赶紧护住海心。,,,,,,,,,,
,170,,姜韶平,,,CG-要搭把手吗？-赵工-3,……要不这样吧。,,,音乐渐入恢复,,,,,,,
,171,,,,,,您先保证在演出前1个小时帮我搭完，钱的事情今天演出完我看怎么给您算。,,,,,,,,,,
,172,,,,,,只要您工作完成得好，演出顺利，肯定是不会拖您欠您的，行吗？,,,,,,,,,,
,173,,赵工,,,,啧，行吧行吧，咱也不为难小年轻。,,,,,,,,,,
,174,,,,,,听到了吗？加紧干活了家伙们！,,,,,,,,,,
,175,,旁白,,,空,眼见着工人们重新开始动工，你赶紧拉着海心离开了。,,,正渐出+背渐出,,,,,,,
,176,空,,,,黑屏,,,走路,CG渐入,,,,,,,
,177,场景-走廊,空,,,空,,,,场景弹窗+场景渐入+镜头特写0,,,,,,,
,178,对话背景-剧院走廊-3,张海心,,张海心-生气,,为什么要让，她们不就是讹你吗？,,空,背渐入+正渐入+镜头右移+无刷屏转场,,,,,,,
,179,,姜韶平,姜韶平-严肃,,,现在演出顺利进行才是最紧要的。,,,,,,,,,,
,180,,,,,,没关系的海心，我会处理好这件事，你先去休息室休息吧，好吗？,,,,,,,,,,
,181,,张海心,空,张海心-生气-下目,,………搞不懂你。,,,音乐淡出,,,,,,,
,182,,空,,空,,,,,正渐出,,,,,,,
,183,,姜韶平,姜韶平-惊讶,,,左转第二个房间才是休息室，别再走错了——,,,,,,,,,,
,184,,,姜韶平-沮丧,,,唉……,,,,,,,,,,
,185,,旁白,空,,,虽然跟海心那样说了，可如果刚才是陈姐在场，她又会如何处理呢？是不是会比自己更智慧，更圆滑？,,,,,,,,,,
,186,,,,,,不过如果是陈姐，那些人应该根本不敢提出这些得寸进尺的要求吧。,,,,,,,,,,
,187,,姜韶平,姜韶平-叹气,,,唉，算了。只要演出能顺利……,,,背渐出,,,,,,,
,188,,空,空,空,黑屏,<i>——两个小时后——</i>,,,镜头重置,,,,,,,
,189,对话背景-剧院走廊-1,姜韶平,姜韶平-叹气,,空,太好了……总算赶上了。,,,镜头特写100,,,,,,,
,190,,,姜韶平-咬牙,,,我看看赵工给开的账单……要死，怎么这么贵！,,,,,,,,,,
,191,,,,,,不是说了演出结束后再来结算吗……,,,,,,,,,,
,192,,,姜韶平-惊吓,,,！,,开门关门,音乐渐入,,,,,,,ryan-walz-main-version-01-34-3632
,193,,夏伦,空,夏伦-默认-演出服,,在那看什么呢小平，等你好久了。,,牛皮纸,背渐入+镜头右移+正渐入,,,,,,,
,194,,姜韶平,姜韶平-紧张,,,没、没什么，我正打算进去呢。,,空,,,,,,,,
,195,,旁白,空,,,你强打起精神，重新面对光彩照人的夏伦。,,,,,,,,,,
,196,,夏伦,,夏伦-笑盈盈-演出服,,~~~,,,,,,,,,,
,197,,旁白,,,,夏伦笑盈盈地看着你，似乎在等着你说些什么。,,,特写,,,,,,,
&,198,,,,,,夸妆发,200,,,,,,,,,
&,199,,,,,,聊服饰,210,,,,,,,,,
#,200,,姜韶平,姜韶平-兴奋,夏伦-笑盈盈-演出服,,唔……虽然小夏平时就很漂亮，但我还是第一次见你完妆的样子。,,,特写结束,,,,,,,
,201,,,,,,简直太美了，小夏！,,,,,,,,,,
,202,,夏伦,空,,,嗯哼~谢谢。,,,,,,,,,,
,203,,,,夏伦-装可怜-演出服,,不过第一次吗，看来小平从没来看过我的戏，有点伤心。,,,,,,,,,,
,204,,姜韶平,姜韶平-慌乱,,,不是不是，是你的戏太热门了，每次我看到消息的时候都已经售罄了！,,,,,,,,,,
,205,,,,,,等下次有机会，我会拼命抢第一排位置的！,,,,,,,,,,
,206,,夏伦,空,夏伦-坏笑-演出服,,那应该没有这种下次了。,,,,,,,,,,
,207,,姜韶平,姜韶平-疑问,,,嗯？,,,,,,,,,,
,208,,夏伦,空,,,这次和下次，你都会坐在预留席位上了。,,,,,,,,,,
,209,,姜韶平,姜韶平-脸红,,,对、对哦……你说得也对。,220,,,,,,,,,
,210,,姜韶平,姜韶平-兴奋,,,这身衣服比我想象中还要适合你，穿着还合身吗？,,,特写结束,,,,,,,
,211,,夏伦,空,夏伦-默认-演出服,,很合适，合适到严丝合缝。,,,,,,,,,,
,212,,,,,,没想到就几年不见，小平都能做出这么精美的戏服了，简直可以去开店了。,,,,,,,,,,
,213,,姜韶平,姜韶平-脸红,,,哈哈…也没那么厉害啦。,,,,,,,,,,
,214,,夏伦,空,夏伦-开朗-演出服,,说真的，你已经可以一个人包揽整个剧团的工作了，干脆下次和我一起上台吧。,,,,,,,,,,
,215,,姜韶平,姜韶平-惊讶,,,我、我吗？不行不行，不太行。,,,,,,,,,,
,216,,,,,,你又不是不知道，我一上台就，就容易磕巴……,,,,,,,,,,
,217,,夏伦,空,,,喔，你是说校庆日的那次……,,,,,,,,,,
,218,,姜韶平,姜韶平-恼羞成怒,,,就不要在这种时候提起令人尴尬的回忆了……不吉利的！,,,,,,,,,,
,219,,夏伦,空,,,哪有，那次明明很棒啊！,220,,,,,,,,,
,220,,姜韶平,姜韶平-默认,,,咳咳，不说这些了，那边舞台搭好了，你踩过点了吗？,,,,,,,,,,
,221,,夏伦,空,夏伦-平淡-演出服,,放心吧。,,,,,,,,,,
,222,,,,,,倒是你刚才干什么去了？,,,,,,,,,,
,223,,姜韶平,姜韶平-说话,,,没什么……只是不放心又去检查了一遍舞台的布置。,,,,,,,,,,
,224,,,姜韶平-默认,,,已经都就绪了，不用担心。,,,,,,,,,,
,225,,夏伦,空,夏伦-默认-演出服,,也别太紧绷了，小平。真正的演出没你想的那么庄重，上台后一切都会顺其自然的。,,,,,,,,,,
,226,,,,夏伦-坏笑-演出服,,何况你的主演还是我。,,,,,,,,,,
,227,对话背景-剧院走廊-2,姜韶平,,姜韶平-正-苦笑,,谢谢你，小夏。我知道的，只是……,,,右侧视角开始+无刷屏转场+镜头右移,,,,,,,
,228,,旁白,空,姜韶平-正-偏头,,只是叫你怎么不紧绷。,,,,,,,,,,
,229,,,,,,和机会俯拾即是的夏伦不同，你耗费了数不清的时间和这辈子都不知道是否会有第二次的运气才走到了这里。,,,,,,,,,,
,230,,,,,,你不能失败，你不会再回到那个养育你又桎梏你的地方，尽管这听上去很忘恩负义。,,,,,,,,,,
,231,,,,,,修道院的院长——你的<color=#F8AA27>养母</color>，那个慈爱、悲悯而虔诚的女人，,,,,,,,,,,
,232,,,,,,修道院的院长——你的<color=#F8AA27>养母</color>，那个慈爱、悲悯而虔诚的女人，恐怕直到今天也无法理解，在年少的你第一次进入剧院那天，自幼在戒律笼罩下的大脑被舞台上肆意的表达和无与伦比的在场感彻底翻新的感觉。,,,,,,,,,,
,233,,,,,,在你拒绝了神学院的邀请，转而决定申报演艺学院后，你逐渐感受到来自“家”的疏离与隔阂。,,,,,,,,,,
,234,,,,,,母亲从不会和你争吵，你静悄悄地离开了。,,,,,,,,,,
,235,,,,,,独自生活并不容易，却也没想象中艰难。,,,,,,,,,,
,236,,,,,,独自生活并不容易，却也没想象中艰难。你照常学习、兼职、考试，终于在第二年攒到了学费，并顺利通过入学考试，迈向你梦想的第一步。,,,,,,,,,,
,237,,,,,,而现在——,,,,,,,,,,
,238,,舞台监督,,,,——演员来集合了！,,,,,,,,,,
,239,,姜韶平,,,,……,,,,,,,,,,
,240,,,,姜韶平-正-默认,,我们走吧，小夏。,,,,,,,,,,
,241,,,,,,演出要开始了。,,,,,,,,,,
,242,,夏伦,空,,,呵呵，庆功香槟准备好了吗。,,,,,,,,,,
,243,,姜韶平,,姜韶平-正-眯眼笑,,当然。,,,音乐结束,,,,,,,
,244,,旁白,空,,,——现在，梦想的序幕即将上演。,,,,,,,,,,
,245,空,空,空,空,黑屏,,,,CG渐入,,,,,,,
,246,,旁白,,,,你头一回意识到，原来黑暗也是有声音的。,,,,,,,,,,
,247,,,,,,灰尘在空气中翻飞、观众在舞台下呼吸、演员们的衣服细细摩挲、心跳在骨腔内震耳欲聋。,,,,,,,,,,
,248,,,,,,然后——,,,右侧视角结束,,,,,,,
,249,,,,,CG-舞台开场,灯光如尖叫般划开黑暗。,,舞台灯声,音乐渐入,,,,,,,小提琴音乐剧-moving-particles-dada-main-version-39604-01-12
,250,,,,,,乐队以一首颇具现代风格的曲子开场，舞者上台，似幽灵般舞动，领头的演员唱叙起故事的背景。,,,,,,,,,,
,251,,,,,,主演登台的那刻，观众席传来了轻微的躁动，这和他们对原作的认知相去甚远。,,,,,,,,,,
,252,,,,,,对经典文本进行再演绎是舞台剧常见的创作路径，但这次你选择将那位长久以来都被视为男主角悲剧映衬的女人作为主角。,,,,,,,,,,
,253,,,,,CG-舞台开场-2,夏伦的演绎完全不像一位纯洁无害的贵族小姐，倒像一位高傲而疯狂的领主，而这正是你所看重的。,,,CG渐入,,,,,,,
,254,,,,,,“她”伶牙俐齿，极富攻击性。,,,,,,,,,,
,255,,,,,,“她”伶牙俐齿，极富攻击性。音乐随着“她”的唱词节节跳动，时而欢快，时而激烈，时而深沉。,,,,,,,,,,
,256,,,,,,随着情节的深入，你感受到现场的所有人都在渐渐入戏。,,,,,,,,,,
,257,,,,,,随着情节的深入，你感受到现场的所有人都在渐渐入戏。演员、观众和乐队，所有人的呼吸逐渐同频，思想逐渐共振，一同等待着最后的宣泄。,,,,,,,,,,
,258,,,,,黑屏,你痴迷于这种体验。,,,,,,,,,,
,259,,,,,,所有你想说的，说不出的，不知道怎么说的，全在里面了。,,,,,,,,,,
,260,,,,,,重新作为观看者欣赏自己的作品又是一种全新而奇妙的感觉。,,,,,,,,,,
,261,,,,,,你看向观众席，二楼包间的陈姐浅笑着，看上去很满意；,,,,,,,,,,
,262,,,,,,你看向观众席，二楼包间的陈姐浅笑着，看上去很满意；海心坐在角落的位置，专注地听着；,,,,,,,,,,
,263,,,,,,你看向观众席，二楼包间的陈姐浅笑着，看上去很满意；海心坐在角落的位置，专注地听着；舞台上的夏伦游刃有余，仿佛她天生就是为演戏而生。,,,,,,,,,,
,264,,,,,,一切都很顺利。,,,,,,,,,,
,265,,,,,,最后的高潮来了。,,,,,,,,,,
,266,,,,,CG-夏伦的坠落-1.1,“她”的命运并没有被改写，但“她”不会成为那具被后世所凝视的水中艳尸，,,,CG渐入,,,,,,,
,267,,,,,,“她”的命运并没有被改写，但“她”不会成为那具被后世所凝视的水中艳尸，而是要高昂地攀上城堡顶端，吸引所有人的目光，向所有人呐喊、嘲笑，,,,,,,,,,,
,268,,,,,,“她”的命运并没有被改写，但“她”不会成为那具被后世所凝视的水中艳尸，而是要高昂地攀上城堡顶端，吸引所有人的目光，向所有人呐喊、嘲笑，然后在众目睽睽之下坠河死去。,,,,,,,,,,
,269,,,,,,夏伦穿着长裙，轻巧地登上方才刚刚搭好的脚架，那里即是“她”的城堡。,,,,,,,,,,
,270,,,,,CG-夏伦的坠落-1.2,,,,,,,,,,,
,271,,,,,,“让这些昭示着命运的花就这样枯萎吧！”,,,,,,,,,,
,272,,,,,,“让我自掘坟墓！让我堕下炼狱！,,,,,,,,,,
,273,,,,,,“让我自掘坟墓！让我堕下炼狱！当冠以虚伪之名的悲伤散去，你们就会知道是谁害死了谁——,,,,,,,,,,
,274,,,,,CG-夏伦的坠落-2,,,金属碰撞,CG渐入+画面抖动一下,,,,,,,
,275,,,,,CG-夏伦的坠落-3,,,,CG渐入,,,,,,,
,276,,,,,,最后一幕。,,,,,,,,,,
,277,,,,,,灯光将会熄灭。,,,,,,,,,,
,278,,,,,,主演会将戏服的裙摆扯下，在余光中营造坠楼的景象，随后从后方安全下撤。,,,强制恢复,,,,,,,
,279,,,,,,本该如此的，这是你设计好的。,,,,,,,,,,
,280,,,,,CG-夏伦的坠落-4,演员谢幕，掌声四起，帷幕落下，完美收官。,,耳鸣+心跳,CG渐入+镜头螺旋放大,,,,,,,
