标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,背景音乐
,66,,姜韶平,姜韶平-惊讶,,,喂，是陈姐吗。,,,,,,,,,,
,67,,旁白,空,,,听筒那边传来的并不是陈姐的声音。,,,,,,,,,,
,68,,？？？,空,,,姜…韶平对吗，你现在来<b>天环大厦</b>吧，老板在等你。,,,,,,,,,,
,69,,姜韶平,姜韶平-惊讶,,,您是……陈姐的人吗？,,,,,,,,,,
,70,,？？？,空,,,是。,,,,,,,,,,
,71,,姜韶平,姜韶平-惊讶,,,好、好，我就来。对了，请问陈姐有说夏伦目前怎么样吗？,,,,,,,,,,
,72,,？？？,空,,,我哪知，反正死不了。,,,,,,,,,,
,73,,,,,,你那过来要半个钟，我到点大堂接你。,,,,,,,,,,
,74,,旁白,,,,电话被利落地挂断了。,,挂电话,,,,,,,,
,75,,姜韶平,姜韶平-惊讶,,,……,,,,,,,,,,
,76,,旁白,空,,,陈姐手下的人你也接触过几个，不知是不是错觉，刚才这位讲话总有种微妙的痞气在里面。,,,,,,,,,,
,77,,姜韶平,姜韶平-严肃,,,不管了，得赶紧过去才行。,,,,,,,,,,
,78,,旁白,空,,,你拿上这两天写的方案草稿，又赶紧捯饬了一下自己，匆匆出了门。,,,,,,,,,,
,79,,空,,空,黑屏,,,地铁,场景弹窗,,,,,,,
,80,,旁白,,,,半小时后，你准时抵达天环大厦。,,,音效淡出,,,,,,,
,81,,,,,,这座超70层的摩天巨物即便在高楼林立的天环也显得尤为突出。陈姐的公司——<b>煌玉娱乐</b>把总部设在这里，也彰显着实力。,,,,,,,,,,
,82,场景-天环大厦大堂,,,,空,,,,场景弹窗+场景渐入,,,,,,,
,83,,,,,,进入主大堂，远远就看见一高一矮，穿着与平日西装打领的上班族格格不入的两个人。,,,,,,,,,,
,84,,？？？,,阿福-阿宝-阿福说话,,哟，来啦。,,,正渐入+背渐入+镜头右移+镜头特写0,,,,,,,
,85,,,,阿福-阿宝-阿宝说话,,嗯，来了。,,,,,,,,,,
,86,,姜韶平,姜韶平-平淡,,,你好，我是姜韶平，你们二位是陈姐的……,,,,,,,,,,
,87,,？？？,空,阿福-阿宝-阿福说话,,跑腿。,,,,,,,,,,
,88,,,,阿福-阿宝-阿宝说话,,跟班。,,,,,,,,,,
,89,,姜韶平,姜韶平-疑问,,,呃……你们的意思是，秘书吗？,,,,,,,,,,
,90,,？？？,空,阿福-阿宝-阿福说话,,差不多吧。,,,,,,,,,,
,91,,阿福,,,,我是阿福。她是阿宝。,,,,,,,,,,
,92,,阿宝,,阿福-阿宝-阿宝说话,,我是阿宝，她是阿福。,,,,,,,,,,
,93,,阿福,,阿福-阿宝-阿福说话,,带你上去吧。,,,,,,,,,,
,94,,姜韶平,姜韶平-平淡,,,嗯，谢谢。,,,,,,,,,,
,95,空,旁白,空,空,黑屏,你们进了电梯。风切声包裹着飞速上升的电梯厢。,,电梯上升,黑屏渐入+镜头重置,,,,,,,
,96,,,,,,今天是周日，人很少，直至电梯停稳，厢内始终只有你们三人。,,电梯开门,音效中止+背渐出,,,,,,,
,97,,,,,,66整层都是煌玉娱乐的地盘，出了电梯，你们来到一扇气派的双开式红酸枝大门前。,,,,,,,,,,
,98,,,,,,阿福叩了两下门，陈姐的声音从里面传来。,,敲门,,,,,,,,
,99,,,,,,——进来。,,,,,,,,,,
,100,,,,,,阿福和阿宝各自为你推开一扇门。,,推木门,,,,,,,,
,101,,,,,,室内的陈设均以上好的红木为基，很讲究地摆放着些镇风水的器物和宝具。木质香混合着沉香温柔地包裹着你，如同办公室的主人般使人安心、平静。,,空,场景渐入,,,,,,,
,102,,陈玉澍,,空,CG-陈姐in老板椅-垂眼,来啦，准时向来是你的优点，阿平。,,,CG渐入,,,,,,,
,103,,旁白,,,,你进去的时候，陈姐正疲惫地靠在椅背上，看着一份文件。,,,,,,,,,,
,104,,,,,CG-陈姐in老板椅-抬眼,等到你走到桌前，她才漫不经心地抬眼，好像刚才的那句话是对手里的纸张说的。,,,CG渐入,,,,,,,
,105,,,,,,很多想问的话顿时堵在喉间，今天的陈姐令你有些陌生。,,,,,,,,,,
,106,,,,,,看来你真的令她失望了。,,,,,,,,,,
,107,,陈玉澍,,,CG-陈姐in老板椅-抬眼-说话,怎么了？不是应该有很多想问的吗？,,,CG渐入+音乐渐入,,,,,,,暗流涌动-The Vile Grove
,108,,,,,,还得我一一向你汇报不成？,,,,,,,,,,
,109,,姜韶平,姜韶平-紧张,,,我不是这个意思……您实在辛苦了。,,,,,,,,,,
,110,,,,,,那…您知不知道小夏现在状况如何了？,,,,,,,,,,
,111,,陈玉澍,空,,CG-陈姐in老板椅-平淡,受了点伤，听说已经回家静养了。,,,CG渐入,,,,,,,
,112,,,,,,每个演员都买了意外险，这块你倒是不用担心。,,,,,,,,,,
,113,,旁白,,,,不如说，你本来也没想这么远。,,,,,,,,,,
,114,,,,,CG-陈姐in老板椅-玩味,陈姐脸上的笑意忽然加深了。,,,CG渐入+镜头渐变特写60+镜头偏移50,,,,,,,
,115,,陈玉澍,,,,我倒是听说，搭台的工人在演出前和你起了点争执？,,,,,,,,,,
,116,,姜韶平,姜韶平-尴尬,,,也没到那程度…只是临时讨价还价罢了，后来我们都商量好了。,,,,,,,,,,
,117,,,姜韶平-惊讶,,,！难道说，是她们……,,,,,,,,,,
,118,,陈玉澍,空,,CG-陈姐in老板椅-平淡,可能吧。,,,CG渐入,,,,,,,
,119,,,,,,从警方收集到的目击证词来看，倒可以确认是夏伦自己踩空了。,,,,,,,,,,
,120,,,,,CG-陈姐in老板椅-垂眼,至于那个高台……的确发现了些瑕疵，但并不影响整体的稳固性，事到如今已经很难追溯了。,,,CG渐入,,,,,,,
,121,,,,,CG-陈姐in老板椅-抬眼-说话,不过那个工头倒是没脸再来提加钱的事了。,,,CG渐入,,,,,,,
,122,,,,,,我已经和媒体跟警方打点好了，这事会被定性成纯粹的意外，没有人会被追责……,,,,,,,,,,
,123,,,,,CG-陈姐in老板椅-玩味,……也没有人会知道你工期安排失误的事。,,,CG渐入,,,,,,,
,124,,旁白,,,,听到这个消息，你并没有松一口气，胸口反倒说不清地紧。,,,,,,,,,,
,125,,姜韶平,姜韶平-严肃,,,…如果真是因为我的失误导致事故，我也不会逃避责任的。,,,,,,,,,,
,126,,陈玉澍,空,,,呵呵，至于剧院那边，已经摆平了。,,,,,,,,,,
,127,,,,,,那帮老滑头没原则的，只要丢点肉就会像狗一样听话，不会再朝你乱吠了。,,,,,,,,,,
,128,,姜韶平,姜韶平-脸红,,,啊…是吗……,,,,,,,,,,
,129,,,,,,啊…是吗……太感谢您了，本来我才是剧团的负责人，您却为我做了这么多。,,,,,,,,,,
,130,,旁白,空,,CG-陈姐in老板椅-平淡,自从你开始和陈姐工作一起后，你才意识到她远比你认知中的要优秀百倍。,,,CG渐入+蒙版渐入+镜头渐变特写0+镜头偏移50,,,,,,,
,131,,,,,,你人生中看的第一场舞台剧就是陈姐制作的——那时候的陈姐应该才刚刚出道，但你自此爱上了这种艺术，一发不可收拾。,,,,,,,,,,
,132,,,,,,到了今天，陈姐早已是业内赫赫有名的大拿，曾经那段往事似乎也鲜少有人提起。,,,,,,,,,,
,133,,,,,,因此，陈姐在毕业演出后向你抛出橄榄枝的时候，一种前所未有的命运感包裹了你。,,,,,,,,,,
,134,,,,,,而现在，她又将你从悬崖边缘救起。,,,,,,,,,,
,135,,,,,,虽然你自认并非千里马，但陈姐一定是你一生的伯乐。,,,,,,,,,,
,136,,姜韶平,姜韶平-欣慰,,,我还有很多不成熟的地方，希望陈姐以后多多指点。,,,蒙版渐出结束,,,,,,,
,137,,,,,,我一定会重振剧团，努力把剧目做大做强报答您的！,,,,,,,,,,
,138,,陈玉澍,空,,CG-陈姐in老板椅-冷淡,哦，你说你那个剧啊，之后不用演了。,,,CG渐入,,,,,,,
,139,,姜韶平,,,,…………,,,音乐淡出,,,,,,,
,140,,,姜韶平-呆滞-张嘴,,,…………啊……？,,,,,,,,,,
,141,,旁白,空,,,你简直要说不出话来。,,耳鸣,,,,,,,,
,142,,,,,,陈姐却还是那么云淡风轻。,,,,,,,,,,
,143,,陈玉澍,空,,CG-陈姐in老板椅-玩味,当然，夏伦不是都受伤了吗。,,,音乐渐入+音效淡出,,,,,,,优雅的邪恶-Ludum Dare 38 08
,144,,,,,,当然，夏伦不是都受伤了吗。没有大明星坐镇票应该卖不出去五成，何况还发生过事故。,,,,,,,,,,
,145,,姜韶平,姜韶平-呆滞-张嘴,,,可、可是，这是我的梦想……,,,,,,,,,,
,146,,,,,,可、可是，这是我的梦想……而且我们不是约定了首演80%以上的上座率就可以加场——,,,,,,,,,,
,147,,陈玉澍,空,,,是、是。,,,,,,,,,,
,148,,,,,,是、是。但现在不是没法继续演出了嘛，所以按照合约里写的，支付违约金就行了。,,,,,,,,,,
,149,,姜韶平,姜韶平-呆滞-张嘴,,,违、违约金？,,,,,,,,,,
,150,,陈玉澍,空,,,阿福。,,,,,,,,,,
,151,,旁白,,,CG-陈姐in老板椅-冷淡-阿福阿宝,这两人不知什么时候进来的。,,,CG渐入,,,,,,,
,152,,,,,,阿福手里拿着一个计算器，阿宝则拿着张纸，似乎是一份清单。,,,,,,,,,,
,153,,,,,,阿福手里拿着一个计算器，阿宝则拿着张纸，似乎是一份清单。她一边念上面的内容，一旁的阿福则将手中的计算器摁得噼里啪啦。,,摁计算器,,,,,,,,
,154,,阿宝,,,,……首演上座率达80%以上乙方需追加规模不小于首演的十场演出，如未达成参照前述约定……,,,镜头滑动特写100+镜头偏移焦点2,,,,,,,
,155,,,,,,……首演上座率达80%以上乙方需追加规模不小于首演的十场演出，如未达成参照前述约定……前述是：偿还全部投初始投资资金并四十厘的年利率……赔付甲方合约项下所有预期可得利益的30%……,,,,,,,,,,
,156,,,,,,……与剧院方的三方合约是：加演的十场均需独家于艺术中心剧院举行，丙方未如约演出需按单场次底租的三倍支付违约金并额外支付剧院可预期收益的20%……,,,,,,,,,,
,157,,,,,,……与剧院方的三方合约是：加演的十场均需独家于艺术中心剧院举行，丙方未如约演出需按单场次底租的三倍支付违约金并额外支付剧院可预期收益的20%……这部分老板已经帮你偿还，所以可以对你进行代位追偿……,,,,,,,,,,
,158,,旁白,,,,你已经彻底蒙了。,,,,,,,,,,
,159,,,,,,你怔在原地，计算器的滴滴声和阿宝念天书一般的字句像是拥有了实体般呈螺旋状围绕着你，将你囚禁其中。,,,,,,,,,,
,160,,,,,,直到阿宝忽然闭嘴，阿福忽然停下手中的动作，报出一个数字。,,,镜头滑动特写100+镜头偏移焦点0+音效中止,,,,,,,
,161,,阿福,,,,嗯，一共300000。,,计算器确认,,,,,,,,
,162,,旁白,,,,你明白了。,,,镜头滑动特写0+镜头偏移50,,,,,,,
,163,,,,,,你的剧和剧院那些被她称为“老滑头”的人的事，原来在陈姐眼里，没什么不同。,,,,,,,,,,
,164,,,,,,都只是待处理的麻烦和可以榨的油水罢了。,,,,,,,,,,
,165,,陈玉澍,,,CG-陈姐in老板椅-玩味-阿福阿宝,就是这样，阿平。这些都白底黑字写着，你仔细看看就知道了。,,,CG渐入,,,,,,,
,166,,,,,CG-陈姐in老板椅-玩味-阿福阿宝-递文件,不过我也不是什么厉鬼，如果你签下这份契据，这笔债就一笔勾销。,,,CG渐入+镜头滑动特写80+镜头偏移焦点1,,,,,,,
,167,,旁白,,,,陈姐把她从你进来时就一直拿在手中的那份文件按在桌上递向你。,,,,,,,,,,
,168,,,,,,你已经失去了仔细阅读文字的能力，但你还是勉强认出那是一份买断契。,,,,,,,,,,
,169,,陈玉澍,,,CG-陈姜对峙,我看出来了，你不适合单干。,,,CG渐入-镜头滑动特写0+镜头偏移50,,,,,,,
,170,,,,,,你很有才气，最适合你的方法就是让我和公司帮你把一切都打点好，你只要负责退居幕后写写剧本就行了。,,,,,,,,,,
,171,,,,,,如何？这可是很划算的买卖。,,,,,,,,,,
,172,,旁白,,,,买断……,,,,,,,,,,
,173,,,,,,买断……要买断什么？,,,,,,,,,,
,174,,,,,,买断你的剧本？买断你所有的努力？,,,,,,,,,,
,175,,,,,,买断你的……,,,,,,,,,,
,176,,,,,,买断你的……人生？,,,,,,,,,,
,177,,,,,,原来你珍视的缘分、付出的心血、受尽的屈辱，都只是商人呼之即来挥之即去的工具吗？,,,,,,,,,,
,178,,,,,,背叛、失望、委屈、难以置信……,,,,,,,,,,
,179,,,,,,背叛、失望、委屈、难以置信……所有情绪混杂在一起，最终形成一股前所未有的愤怒。,,,,,,,,,,
&,180,,,,,,爆发,182,,中,,,,,,,
&,181,,,,,,隐忍,230,,中,,,,,,,
#,182,,姜韶平,,,CG-陈姜对峙-姜黑脸,我签……,,,CG渐入+音乐淡出,,,,,,,
,183,,陈玉澍,,,,乖，只要给我干活，我从不亏待任何人。,,,,,,,,,,
,184,,姜韶平,,,CG-陈姜对峙-姜怒吼扔纸,我签——你个大头鬼啊！！！,,,CG渐入+音乐渐入,,,,,,,形势激烈！
,185,,旁白,,,,你再也维持不住矜持和体面，一把夺过那份契据，将它转眼撕得粉碎。,,撕纸,,,,,,,,
,186,,,,,,你抬手一扬，纸屑在四人头顶如雪花般散落。,,,,,,,,,,
,187,,,,,,真是受够了！,,,,,,,,,,
,188,,,,,CG-陈姐in老板椅-冷淡-阿福阿宝-拂纸,陈姐冷眼盯着你，毫不在意地拂去头上的碎屑。,,,CG渐入,,,,,,,
,189,,陈玉澍,,,,挺有骨气。,,,,,,,,,,
,190,,,,,,可惜骨气既不能当饭吃，也不能当钱花，当然也不能——,,,,,,,,,,
,191,,,,,,可惜骨气既不能当饭吃，也不能当钱花，当然也不能——帮你在一周内还清三十万了。,,,,,,,,,,
,192,,姜韶平,姜韶平-呆滞-张嘴,,,一、一周！？,,,,,,,,,,
,193,,旁白,空,,,阿福又拿出一份文件。你认出那是你们最初签署的投资合约。,,,,,,,,,,
,194,,,,,,你忽然想起，那份合约在签署完后陈姐根本没有给过你。,,,,,,,,,,
,195,,阿福,,,,白底黑字。,,,,,,,,,,
,196,,阿宝,,,,黑字白底。,,,,,,,,,,
,197,,旁白,,,,你伸手想拿走那份合约，却被阿福擒住。,,,,,,,,,,
,198,,姜韶平,姜韶平-呆滞,,,等等！我从来没有拿到过这份合约，当时是现场签字，我没有机会细看条款！,,,CG渐入,,,,,,,
,199,,,姜韶平-恼怒,,,放开我！我有权抗辩！,,,,,,,,,,
,200,,陈玉澍,空,,,有点吵了。,,,,,,,,,,
,201,,,,,,这两天处理你捅的篓子已经够了。,,,,,,,,,,
,202,,,,,,阿福阿宝，送客。,,,,,,,,,,
,203,,旁白,,,,阿福把你像小鸡一样拎了出去。,,,,,,,,,,
,204,,姜韶平,姜韶平-呆滞-张嘴,,,等等！陈姐！我还没——！,,,音乐淡出,,,,,,,
,205,,旁白,空,,黑屏,一直到主大堂，阿福才放开你，一把将你推出了闸门。,,,CG渐入+镜头重置,,,,,,,
,206,场景-天环大厦大堂,阿福,,阿福-阿宝-阿福说话,空,你说你，跟老板置什么气。,,,无刷屏转场+正渐入+背渐入+镜头特写0,,,,,,,
,207,,,,,,这下倒好，恐怕是没有余地咯。,,,,,,,,,,
,208,,姜韶平,姜韶平-恼怒,,,大不了去法院，这种霸王条款有什么理！,,,,,,,,,,
,209,,阿宝,空,阿福-阿宝-阿宝说话,,咯咯，老板才不会去法院呢~,,,,,,,,,,
,210,,阿福,,阿福-阿宝-阿福说话,,唉，老妹，你挺有骨气的，我欣赏你。,,,,,,,,,,
,211,,,,,,但我还是劝你找找家里人，想办法赶紧把钱还了，不然……,,,,,,,,,,
,212,,,,,,自己好自为之吧。,,,,,,,,,,
,213,,旁白,,空,黑屏,阿福留下一句意味深长的话，转头回去了。,,,结局开始+音乐结束,,,,,,,
,214,,,,,,你失魂落魄地回到家，没有一点实感。,,,,,,,,,,
,215,,,,,,陈姐要你一周还三十万？如果你手上没有任何可以证明的纸面文件，又何从谈起？就算去到法院，你也可以声称对方的合约是霸王条款，存在欺诈隐瞒的情况。,,,,,,,,,,
,216,,,,,,不去法院，难不成还能人身威胁不成？现在可是法治社会，那种黑帮电影里面的情节怎么可能发生在你身上……,,,,,,,,,,
,217,,,,,,你怀着不信邪的想法，度过了一周，期间没有收到任何与陈姐有关的电话和信件。,,,,,,,,,,
,218,,,,,,果然，陈姐只是在放狠话。,,,,,,,,,,
,219,,,,,,然而，你低估了陈姐，或者说，低估了这个社会的残酷程度。,,,结局翻页,,,,,,,
,220,,,,,,一周后，一群明显远非善茬的人造访了你家。之后的每天，这群人都会准时出现在你家外面的走廊和楼栋的一层。虽然没有造成任何实质性的伤害，但在邻居投诉后，你被房东赶了出来。,,,,,,,,,,
,221,,,,,,这群人像沉默而具现的影子，跟在你身后。你去报警，作用微乎其微。,,,,,,,,,,
,222,,,,,,你想继续自己的剧作事业，但没有剧团敢收你的剧本，没有报社敢刊登你写的稿子，后来，你发现你的银行卡被查封。,,,,,,,,,,
,223,,,,,,不知过了多久，你再也没有办法生活下去，这群人把你带上车，送到了那个你从小长大的地方。,,,,,,,,,,
,224,,,,,,你的债务还清了。,,,,,,,,,,
,225,,,,,,结束完早祷，餐桌上，母亲一言不发。你明白，她知道了一切。,,,,,,,,,,
,226,,,,,,这些年的一切都成了笑话。,,,,,,,,,,
,227,,,,,,现在，你再也没有心力离开她了。,,,结局结束,,,,,,,
,228,,,,,黑屏,,,,场景弹窗,,,,,,,
,229,,,,,,,END,,跳转主界面,,,,,,,
,230,,旁白,,空,CG-陈姜对峙,你熟悉这种快要失控的情绪，锁住咽喉将它咽下。,,,CG渐入+音乐渐入,,,,,,,优雅的邪恶-Ludum Dare 38 08
,231,,姜韶平,,,CG-陈姜对峙-姜黑脸,抱歉，陈姐。,,,CG渐入,,,,,,,
,232,,,,,,我不能签。,,,,,,,,,,
,233,,陈玉澍,,,CG-陈姜对峙,年轻人有骨气是好事。,,,CG渐入,,,,,,,
,234,,,,,,可惜这骨气既不能当饭吃，也不能当钱花，当然也不能——,,,,,,,,,,
,235,,,,,,可惜这骨气既不能当饭吃，也不能当钱花，当然也不能——帮你在三个月内还清三十万了。,,,,,,,,,,
,236,,姜韶平,,,,三个月！？,,,,,,,,,,
,237,,旁白,,,,阿福又拿出一份文件。你认出那是你们最初签署的投资合约。,,,,,,,,,,
,238,,,,,,这时你才想起，那份合约在签署完后陈姐根本没有给过你。,,,,,,,,,,
,239,,,,,,你太信任她了。你太天真了。,,,,,,,,,,
,240,,阿福,,,,白底黑字。,,,,,,,,,,
,241,,阿宝,,,,黑字白底。,,,,,,,,,,
,242,,旁白,,,CG-陈姜对峙-姜看合约,你从阿福手中抽走那份合约，有关违约条款的内容写在一大段专业术语的间隙，看得人眼花缭乱。,,,CG渐入,,,,,,,
,243,,,,,,你好不容易定位到相关条款，上面确实写着“违约金支付期限三个月”。,,,,,,,,,,
,244,,姜韶平,,,,怎么会……我当时根本没有时间一一核对条款。,,,,,,,,,,
,245,,,,,,因为您当时——,,,,,,,,,,
,246,,陈玉澍,,,,劝你别费那个钱找律师了，不然撑不到开庭之前就破产了。,,,,,,,,,,
,247,,,,,CG-陈姜对峙-陈递姜接,这份契据你拿去吧，有三个月的时间给你慢慢考虑。,,,CG渐入,,,,,,,
,248,,旁白,,,,你接过契据，几张纸的重量在你手中如有千钧。,,,,,,,,,,
,249,,陈玉澍,,,,时间也差不多了，阿福阿宝，送客。,,,,,,,,,,
,250,,旁白,,,黑屏,你在二人的护送下离开了。,,,音乐淡出,,,,,,,
,251,,,,,,临走前，你回头朝门缝里望了眼。陈姐正在沏茶，仿佛什么也没发生过。,,,,,,,,,,
,252,,空,,,黑屏,,,电梯上升,,,,,,,,
,253,场景-天环大厦大堂,旁白,,,空,阿福和阿宝一直把你送到闸门处。,,,音效淡出+背渐出,,,,,,,
,254,,,,,,阿福的态度明显比来时更加轻松，她恶狠狠地伸了个懒腰。,,,,,,,,,,
,255,,阿福,,阿福-阿宝-阿福说话,,嗨呀！终于结束了！害我们休息日也跟着加班，都是你干的好事。,,,无刷屏转场+正渐入+背渐入+镜头特写0,,,,,,,
,256,,,,,,不过老妹啊，有骨气是好事，但我劝你赶紧签了得了，省得夜长梦多。,,,,,,,,,,
