标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,背景音乐
,26,,,,,CG-解围-1,剧院的负责人凑上来安慰你。她满脸痛心地拍拍你的肩，替你叹老天狠心，一边又提起舞台的搭建不是由剧院负责，发生这事她也很难办。,,,CG渐入,,,,,,,
,27,,,,,,很快，其他人像闻到血腥味的鲨鱼般围了上来，自顾自开始讨论起来，每个问题都要像征求你意见似地抛给你，不等你回答完，又立刻被其他人夺走话头。,,,,,,,,,,
,28,,,,,,二次损失、清场、保险、预期分成、更换主演……还有人说这种事故影响了剧院的风水，也应该算上损失……,,,,,,,,,,
,29,,姜韶平,姜韶平-慌乱,,,嗯、我……这些我也……大家改天好好商量一下吧，是，是我知道……,,,,,,,,,,
,30,,,,,,是吗……合约里应该……，是，是。唉，真的对不——,,,,,,,,,,
,31,,陈玉澍,空,,,我说刘老板，演出合约是我们三方签的，不等我一起商量，在这刁难年轻人算什么。,,,,,,,,,,
,32,,旁白,,,CG-解围-2,陈姐不知什么时候来到你身后，率先看到她过来的人立马熄火，原先压在你肩上的手也迅速抽开，转而谄媚地扭在了一起。,,,CG渐入,,,,,,,
,33,,剧院老板,,,,陈老板哪里的话！我这不是先开导开导咱小姜同志，年轻人没见过风浪，不磨砺磨砺怕影响日后事业呀！,,,,,,,,,,
,34,,陈玉澍,,,,呵呵，那恐怕也轮不到你来吧。,,,,,,,,,,
,35,对话背景-剧院门口,旁白,,,,陈姐朝旁边使了个眼色，她身边那位高大的警官就把剧院老板和其他围着你的人带去做目击笔录了。,,,,,,,,,,
,36,,,,,空,然后她示意你走到人少的角落。,,,,,,,,,,
,37,,陈玉澍,,陈玉澍-序章-严肃,,阿平，过来。,,,正渐入+背渐入+镜头右移+镜头特写0,,,,,,,
,38,,姜韶平,姜韶平-慌乱,,,陈姐，我……,,,,,,,,,,
,39,,旁白,空,,,目睹了这一切，陈姐会很失望吧。一,,,,,,,,,,
,40,,,,,,目睹了这一切，陈姐会很失望吧。一切就这样被你搞砸了，而你又什么话都说不上来，什么事都处理不了。,,,,,,,,,,
,41,,姜韶平,姜韶平-委屈,,,……对不起。,,,,,,,,,,
,42,,陈玉澍,空,陈玉澍-序章-严肃,,现在不说这个。,,,,,,,,,,
,43,,,,,,刚才那位王Sir是我熟人，你先跟着她去做笔录，做完就赶紧回去。,,,,,,,,,,
,44,,,,,,走的时候记得挡严实点，那群记者跑得可快，晚点外面应该就被围住了。,,,,,,,,,,
,45,,,,,,在我通知你前都先别出门。,,,,,,,,,,
,46,,姜韶平,姜韶平-委屈,,,可、可是……我得留下来……都是我……,,,,,,,,,,
,47,,陈玉澍,空,陈玉澍-序章-严肃,,停，没有调查出结果前，不要擅自揽责。,,,,,,,,,,
,48,,,,陈玉澍-序章-默认,,毕竟，责任越大……赔钱越多。,,,,,,,,,,
,49,,,,,,你去吧，这之后的事我来处理就好。,,,,,,,,,,
,50,,姜韶平,姜韶平-沮丧,,,…………好的，我知道了。,,,,,,,,,,
,51,,旁白,空,空,,之后，陈姐把你留在原地，自己去和其他人交涉了。,,,正渐出,,,,,,,
,52,,,,,,你看着她游刃有余的背影和那些老油条谄媚的笑脸，忽然觉得自己像孩童般无力。,,,,,,,,,,
,53,,,,,,你精心制作的剧目，你亲力亲为张罗的日程、选中的人员、组建起来的剧团，你收到的来自各方的期待，你天真地以为拥有了这一切就可以令你摆脱稚气，立足于业界。,,,,,,,,,,
,54,,,,,,然而在真正的大人面前，你那些东西又都显得那么不堪一击，像是海滩上孩子用沙砌的城堡，海浪一来便只剩残骸。,,,,,,,,,,
,55,,,,,,有了陈姐，这里再不需要你在场了。,,,,,,,,,,
,56,,,,,,没过多久，刚才那位王警官走了过来，提醒你该去做笔录了。,,,背渐出+音乐淡出,,,,,,,
,57,,,,空,CG-警车内,笔录做完，你像个被押的犯人似地被警车送回了家。,,救护车警笛,CG渐入,,,,,,,
,58,,,,,,笔录做完，你像个被押的犯人似地被警车送回了家。远处的警笛声似梦魇般如影随形。,,,镜头重置,,,,,,,
,59,场景-小平房间,,,,黑屏,,,,黑屏渐入+音效渐出,,,,,,,
,60,,姜韶平,姜韶平-惊讶,,空,！,,电话铃,音效中止,,,,,,,
,61,,旁白,空,,,电话刚响了一下，你就抓起听筒，差点把基座撞到桌下去。,,接电话,音效中止,,,,,,,
,62,,姜韶平,姜韶平-惊讶,,,喂，是陈姐吗。,,,,,,,,,,
,63,,旁白,空,,,听筒那边传来的并不是陈姐的声音。,,,,,,,,,,
,64,,？？？,空,,,姜…韶平对吗，你现在来<b>天环大厦</b>吧，老板在等你。,,,,,,,,,,
,65,,姜韶平,姜韶平-惊讶,,,您是……陈姐的人吗？,,,,,,,,,,
,66,,？？？,空,,,是。,,,,,,,,,,
,67,,姜韶平,姜韶平-惊讶,,,好、好，我就来。对了，请问陈姐有说夏伦目前怎么样吗？,,,,,,,,,,
,68,,？？？,空,,,我哪知，反正死不了。,,,,,,,,,,
,69,,,,,,你那过来要半个钟，我到点大堂接你。,,,,,,,,,,
,70,,旁白,,,,电话被利落地挂断了。,,挂电话,,,,,,,,
,71,,姜韶平,姜韶平-惊讶,,,……,,,,,,,,,,
,72,,,,,,陈姐手下的人你也接触过几个，不知是不是错觉，刚才这位讲话总有种微妙的痞气在里面。,,,,,,,,,,
,73,,姜韶平,姜韶平-严肃,,,不管了，得赶紧过去才行。,,,,,,,,,,
,74,,旁白,空,,,你拿上这两天写的方案草稿，又赶紧捯饬了一下自己，匆匆出了门。,,,,,,,,,,
,75,空,空,,空,黑屏,,,地铁,,,,,,,,
,76,,旁白,,,,半小时后，你准时抵达天环大厦。,,,音效中止,,,,,,,
,77,,,,,,这座超70层的摩天巨物即便在高楼林立的天环也显得尤为突出。陈姐的公司——<b>煌玉娱乐</b>把总部设在这里，也彰显着实力。,,,,,,,,,,
,78,对话背景-天环大厦-大堂,,,,空,,,,场景弹窗+场景渐入,,,,,,,
,79,,,,,,进入主大堂，远远就看见一高一矮，穿着与平日西装打领的上班族格格不入的两个人。,,,,,,,,,,
,80,,？？？,,阿福-阿宝-阿福说话,,哟，来啦。,,,正渐入+背渐入+镜头右移+镜头特写0,,,,,,,
,81,,,,阿福-阿宝-阿宝说话,,嗯，来了。,,,,,,,,,,
,82,,姜韶平,姜韶平-平淡,,,你好，我是姜韶平，你们二位是陈姐的……,,,,,,,,,,
,83,,？？？,空,阿福-阿宝-阿福说话,,跑腿。,,,,,,,,,,
,84,,,,阿福-阿宝-阿宝说话,,跟班。,,,,,,,,,,
,85,,姜韶平,姜韶平-疑问,,,呃……你们的意思是，秘书吗？,,,,,,,,,,
,86,,？？？,空,阿福-阿宝-阿福说话,,差不多吧。,,,,,,,,,,
,87,,阿福,,,,我是阿福。她是阿宝。,,,,,,,,,,
,88,,阿宝,,阿福-阿宝-阿宝说话,,我是阿宝，她是阿福。,,,,,,,,,,
,89,,阿福,,阿福-阿宝-阿福说话,,带你上去吧，这里要刷卡。,,,,,,,,,,
,90,,姜韶平,姜韶平-平淡,,,嗯，谢谢。,,,,,,,,,,
,91,空,旁白,空,空,黑屏,你们进了电梯。风切声包裹着飞速上升的电梯厢。,,电梯上升,黑屏渐入+镜头重置,,,,,,,
,92,,,,,,今天是周日，人很少，直至电梯停稳，厢内始终只有你们三人。,,电梯开门,音效中止+背渐出,,,,,,,
,93,,,,,,66整层都是煌玉娱乐的地盘，出了电梯，你们来到一扇气派的双开式红酸枝大门前。,,,,,,,,,,
,94,,,,,,阿福叩了两下门，陈姐的声音从里面传来。,,敲门,,,,,,,,
,95,,,,,,——进来。,,,,,,,,,,
,96,,,,,,阿福和阿宝各自为你推开一扇门。,,推木门,,,,,,,,
,97,,,,,,室内的陈设以上好的红木制为基，很讲究地摆放着些镇风水的器物和宝具。木质香混合着沉香温柔地包裹着你，如同办公室的主人般使人安心、平静。,,空,场景渐入,,,,,,,
,98,,陈玉澍,,空,CG-陈姐in老板椅-垂眼,来啦，准时向来是你的优点，阿平。,,,CG渐入,,,,,,,
,99,,旁白,,,,你进去的时候，陈姐正疲惫地靠在椅背上，看着一份文件。,,,,,,,,,,
,100,,,,,CG-陈姐in老板椅-抬眼,等到你走到桌前，她才漫不经心地抬眼，好像刚才的那句话是对手里的纸张说的。,,,CG渐入,,,,,,,
,101,,,,,,很多想问的话顿时堵在喉间，今天的陈姐令你有些陌生。,,,,,,,,,,
,102,,,,,,看来你真的令她失望了。,,,,,,,,,,
,103,,陈玉澍,,,CG-陈姐in老板椅-抬眼-说话,怎么了？不是应该有很多想问的吗？,,,CG渐入+音乐渐入,,,,,,,暗流涌动-The Vile Grove
,104,,,,,,还得我一一向你汇报不成？,,,,,,,,,,
,105,,姜韶平,姜韶平-紧张,,,我不是这个意思……您实在辛苦了。,,,,,,,,,,
,106,,,,,,那…您知不知道小夏现在状况如何了？,,,,,,,,,,
,107,,陈玉澍,空,,CG-陈姐in老板椅-平淡,受了点伤，听说已经回家静养了。,,,CG渐入,,,,,,,
,108,,,,,,每个演员都买了意外险，这块你倒是不用担心。,,,,,,,,,,
,109,,旁白,,,,不如说，你本来也没想这么远。,,,,,,,,,,
,110,,,,,CG-陈姐in老板椅-玩味,陈姐脸上的笑意忽然加深了。,,,CG渐入+镜头渐变特写60+镜头偏移50,,,,,,,
,111,,陈玉澍,,,,我倒是听说，搭台的工人在演出前和你起了点争执？,,,,,,,,,,
,112,,姜韶平,姜韶平-尴尬,,,也没到那程度…只是临时讨价还价罢了，后来我们都商量好了。,,,,,,,,,,
,113,,,姜韶平-惊讶,,,！难道说，是她们……,,,,,,,,,,
,114,,陈玉澍,空,,CG-陈姐in老板椅-平淡,可能吧。,,,CG渐入,,,,,,,
,115,,,,,,从警方收集到的目击证词来看，倒可以确认是夏伦自己踩空了。,,,,,,,,,,
,116,,,,,CG-陈姐in老板椅-垂眼,至于那个高台……的确发现了些瑕疵，但并不影响整体的稳固性，事到如今已经很难追溯了。,,,CG渐入,,,,,,,
,117,,,,,CG-陈姐in老板椅-抬眼-说话,不过那个工头倒是没脸再来提加钱的事了。,,,CG渐入,,,,,,,
,118,,,,,,我已经和媒体跟警方打点好了，这事会被定性成纯粹的意外，没有人会被追责……,,,,,,,,,,
,119,,,,,CG-陈姐in老板椅-玩味,……也没有人会知道你工期安排失误的事。,,,CG渐入,,,,,,,
,120,,旁白,,,,听到这个消息，你并没有松一口气，胸口反倒说不清地紧。,,,,,,,,,,
,121,,姜韶平,姜韶平-严肃,,,…如果真是因为我的失误导致事故，我也不会逃避责任的。,,,,,,,,,,
,122,,陈玉澍,空,,,呵呵，至于剧院那边，已经摆平了。,,,,,,,,,,
,123,,,,,,那帮老滑头没原则的，只要丢点肉就会像狗一样听话，不会再朝你乱吠了。,,,,,,,,,,
,124,,姜韶平,姜韶平-脸红,,,啊…是吗……,,,,,,,,,,
,125,,,,,,啊…是吗……太感谢您了，本来我才是剧团的负责人，您却为我做了这么多。,,,,,,,,,,
,126,,旁白,空,,CG-陈姐in老板椅-平淡,自从你开始和陈姐工作一起后，你才意识到她远比你认知中的要优秀百倍。,,,CG渐入+蒙版渐入+镜头渐变特写0+镜头偏移50,,,,,,,
,127,,,,,,你人生中看的第一场舞台剧就是陈姐制作的——那时候的陈姐应该才刚刚出道，但你自此爱上了这种艺术，一发不可收拾。,,,,,,,,,,
,128,,,,,,而现在，陈姐早已是业内赫赫有名的企业家，曾经那段往事似乎也鲜少有人提起。,,,,,,,,,,
,129,,,,,,因此，陈姐在毕业表演后向你抛出橄榄枝的时候，一种前所未有的命运感包裹了你。,,,,,,,,,,
,130,,,,,,而现在，她又一次把你从悬崖的边缘捞起。,,,,,,,,,,
,131,,,,,,虽然你自认并非千里马，但陈姐一定是你一生的伯乐。,,,,,,,,,,
,132,,姜韶平,姜韶平-欣慰,,,我还有很多不成熟的地方，希望陈姐以后多多指点。,,,蒙版渐出结束,,,,,,,
,133,,,,,,我一定会重振剧团，努力把剧目做大做强报答您的！,,,,,,,,,,
,134,,陈玉澍,空,,CG-陈姐in老板椅-冷淡,哦，你说你那个剧啊，之后不用演了。,,,CG渐入,,,,,,,
,135,,姜韶平,姜韶平-呆滞,,,…………,,,音乐淡出,,,,,,,
,136,,,姜韶平-呆滞-张嘴,,,…………啊……？,,,,,,,,,,
,137,,旁白,空,,,你简直要说不出话来。,,,,,,,,,,
,138,,,,,,陈姐却还是那么云淡风轻。,,,,,,,,,,
,139,,陈玉澍,空,,CG-陈姐in老板椅-玩味,当然，夏伦不是都受伤了吗。,,,音乐渐入,,,,,,,优雅的邪恶-Ludum Dare 38 08
,140,,,,,,当然，夏伦不是都受伤了吗。没有大明星坐镇票应该卖不出去五成，何况还发生过事故。,,,,,,,,,,
,141,,姜韶平,姜韶平-呆滞-张嘴,,,可、可是，这是我的梦想……,,,,,,,,,,
,142,,,,,,可、可是，这是我的梦想……而且我们不是约定了首演80%以上的上座率就可以加场——,,,,,,,,,,
,143,,陈玉澍,空,,,是、是，,,,,,,,,,,
,144,,,,,,是、是。但现在不是没法继续演出了嘛，所以按照合约里写的，支付违约金就行了。,,,,,,,,,,
,145,,姜韶平,姜韶平-呆滞-张嘴,,,违、违约金？,,,,,,,,,,
,146,,陈玉澍,空,,,阿福。,,,,,,,,,,
,147,,旁白,,,CG-陈姐in老板椅-冷淡-阿福阿宝,阿福和阿宝不知道什么时候进来的。,,,CG渐入,,,,,,,
,148,,,,,,阿福手里拿着一个计算器，阿宝则拿着张纸，似乎是一份清单。,,,,,,,,,,
,149,,,,,,阿福手里拿着一个计算器，阿宝则拿着张纸，似乎是一份清单。她一边念上面的内容，阿福一边将手中的计算器摁得噼里啪啦。,,摁计算器,,,,,,,,
,150,,阿宝,,,,……首演上座率达80%以上乙方需追加规模不小于首演的十场演出，如未达成参照前述约定……,,,镜头滑动特写100+镜头偏移焦点2,,,,,,,
,151,,,,,,……首演上座率达80%以上乙方需追加规模不小于首演的十场演出，如未达成参照前述约定……前述是：偿还全部投初始投资资金并四十厘的年利率……赔付甲方合约项下所有预期可得利益的30%……,,,,,,,,,,
,152,,,,,,……与剧院方的三方合约是：加演的十场均需独家于艺术中心剧院举行，丙方未如约演出需按单场次底租的三倍支付违约金并额外支付剧院可预期收益的20%……,,,,,,,,,,
,153,,,,,,……与剧院方的三方合约是：加演的十场均需独家于艺术中心剧院举行，丙方未如约演出需按单场次底租的三倍支付违约金并额外支付剧院可预期收益的20%……这部分老板已经帮你偿还，所以可以对你进行代位追偿……,,,,,,,,,,
,154,,旁白,,,,你已经彻底蒙了。,,,,,,,,,,
,155,,,,,,你怔在原地，计算器的滴滴声和阿宝念天书一般的字句像是拥有了实体般呈螺旋状围绕着你，将你囚禁其中。,,,,,,,,,,
,156,,,,,,直到阿宝忽然闭嘴，阿福忽然停下手中的动作，报出一个数字。,,,镜头滑动特写100+镜头偏移焦点0+音效中止,,,,,,,
,157,,阿福,,,,嗯，一共300000。,,计算器确认,,,,,,,,
,158,,旁白,,,,你明白了。,,,镜头滑动特写0+镜头偏移50,,,,,,,
,159,,,,,,你的事和剧院那些被她称为“老滑头”的人的事，原来在陈姐眼里，没什么不同。,,,,,,,,,,
,160,,,,,,都只是待处理的麻烦和可以榨的油水罢了。,,,,,,,,,,
,161,,陈玉澍,,,CG-陈姐in老板椅-玩味-阿福阿宝,就是这样，阿平。这些都白底黑字写着，你仔细看看就知道了。,,,CG渐入,,,,,,,
,162,,,,,CG-陈姐in老板椅-玩味-阿福阿宝-递文件,不过我也不是什么厉鬼，如果你签下这份契据，这笔债就一笔勾销。,,,CG渐入+镜头滑动特写80+镜头偏移焦点1,,,,,,,
,163,,旁白,,,,陈姐把她从你进来时就一直拿在手中的那份文件按在桌上递向你。,,,,,,,,,,
,164,,,,,,你已经失去了仔细阅读文字的能力，但你还是勉强认出那是一份买断契。,,,,,,,,,,
,165,,陈玉澍,,,CG-陈姜对峙,我看出来了，你不适合单干。,,,CG渐入-镜头滑动特写0+镜头偏移50,,,,,,,
,166,,,,,,你很有才气，最适合你的方法就是让我和公司帮你把一切都打点好，你只要负责退居幕后写写剧本就行了。,,,,,,,,,,
,167,,,,,,如何？这可是很划算的买卖。,,,,,,,,,,
,168,,旁白,,,,买断……,,,,,,,,,,
,169,,,,,,买断……要买断什么？,,,,,,,,,,
,170,,,,,,买断你的剧本？买断你所有的努力？,,,,,,,,,,
,171,,,,,,买断你的……,,,,,,,,,,
,172,,,,,,买断你的……人生？,,,,,,,,,,
,173,,,,,,原来你珍视的缘分、付出的心血、受尽的屈辱，都只是商人呼之即来挥之即去的工具。,,,,,,,,,,
,174,,,,,,背叛、失望、委屈、难以置信……所有情绪混杂在一起，最终形成一股前所未有的愤怒。,,,,,,,,,,
&,175,,,,,,爆发,177,,中,,,,,,,
&,176,,,,,,隐忍,225,,中,,,,,,,
#,177,,姜韶平,,,CG-陈姜对峙-姜黑脸,我签……,,,CG渐入+音乐淡出,,,,,,,
,178,,陈玉澍,,,,乖，只要给我干活，我从不亏待任何人。,,,,,,,,,,
,179,,姜韶平,,,CG-陈姜对峙-姜怒吼扔纸,我签——你个大头鬼啊！！！,,,CG渐入+音乐渐入,,,,,,,形势激烈！
,180,,旁白,,,,你再也维持不住矜持和体面，一把夺过那份契据，将它转眼撕得粉碎。,,撕纸,,,,,,,,
,181,,,,,,你抬手一扬，纸屑在四人头顶如雪花般散落。,,,,,,,,,,
,182,,,,,,真是受够了！,,,,,,,,,,
,183,,,,,CG-陈姐in老板椅-冷淡-阿福阿宝-拂纸,陈姐冷眼盯着你，毫不在意地拂去头上的碎屑。,,,CG渐入,,,,,,,
,184,,陈玉澍,,,,挺有骨气。,,,,,,,,,,
,185,,,,,,可惜骨气既不能当饭吃，也不能当钱花，当然也不能——,,,,,,,,,,
,186,,,,,,可惜骨气既不能当饭吃，也不能当钱花，当然也不能——帮你在一周内还清三十万了。,,,,,,,,,,
,187,,姜韶平,姜韶平-呆滞-张嘴,,,一、一周！？,,,,,,,,,,
,188,,旁白,空,,,阿福又不知从哪里拿出来一份你们原先签订的投资合约。,,,,,,,,,,
,189,,,,,,你忽然想起，那份合约在签署完后陈姐根本没有给过你。,,,,,,,,,,
,190,,阿福,,,,白底黑字。,,,,,,,,,,
,191,,阿宝,,,,黑字白底。,,,,,,,,,,
,192,,旁白,,,,你伸手想拿走那份合约，却被阿福擒住。,,,,,,,,,,
,193,,姜韶平,姜韶平-呆滞,,,等等！我从来没有拿到过这份合约，当时是现场签字，我没有机会细看条款！,,,CG渐入,,,,,,,
,194,,,姜韶平-恼怒,,,放开我！我有权抗辩！,,,,,,,,,,
,195,,陈玉澍,,,,有点吵了。,,,,,,,,,,
,196,,,,,,这两天处理你捅的篓子已经够了。,,,,,,,,,,
,197,,,,,,阿福阿宝，送客。,,,,,,,,,,
,198,,旁白,,,,阿福把你像小鸡一样拎了出去。,,,,,,,,,,
,199,,姜韶平,姜韶平-呆滞-张嘴,,,等等！陈姐！我还没——！,,,音乐淡出,,,,,,,
,200,,旁白,,,黑屏,一直到主大堂，阿福才放开你，一把将你推出了闸门。,,,CG渐入+镜头重置,,,,,,,
,201,对话背景-天环大厦-大堂,阿福,,阿福-阿宝-阿福说话,空,你说你，跟老板置什么气。,,,无刷屏转场+正渐入+背渐入+镜头特写0,,,,,,,
,202,,,,,,这下倒好，恐怕是没有余地咯。,,,,,,,,,,
,203,,姜韶平,姜韶平-恼怒,,,大不了去法院，这种霸王条款有什么理！,,,,,,,,,,
,204,,阿宝,空,阿福-阿宝-阿宝说话,,咯咯，老板才不会去法院呢~,,,,,,,,,,
,205,,阿福,,阿福-阿宝-阿福说话,,唉，老妹，你挺有骨气的，我欣赏你。,,,,,,,,,,
,206,,,,,,但我还是劝你找找家里人，想办法赶紧把钱还了，不然……,,,,,,,,,,
,207,,,,,,自己好自为之吧。,,,,,,,,,,
,208,,旁白,,空,黑屏,阿福留下一句意味深长的话，转头回去了。,,,结局开始+音乐结束,,,,,,,
,209,,,,,,你失魂落魄地回到家，没有一点实感。,,,,,,,,,,
,210,,,,,,陈姐要你一周还三十万？如果你手上没有任何可以证明的纸面文件，又何从谈起？就算去到法院，你也可以声称对方的合约是霸王条款，存在欺诈隐瞒的情况。,,,,,,,,,,
,211,,,,,,不去法院，难不成还能暴力威胁不成？现在可是法治社会，那种黑帮电影里面的情节怎么可能发生在你身上……,,,,,,,,,,
,212,,,,,,你怀着不信邪的想法，度过了一周，期间没有接到任何与陈姐有关的电话和信件。,,,,,,,,,,
,213,,,,,,果然，陈姐只是在放狠话。,,,,,,,,,,
,214,,,,,,然而，你低估了陈姐，或者说，低估了这个社会的残酷程度。,,,结局翻页,,,,,,,
,215,,,,,,一周后，一群明显远非善茬的人造访了你家，之后的每天，这群人都会准时出现在你家走廊外以及房子的一楼。虽然没有造成任何物理性的伤害，但害怕的邻居找房东投诉后，你被房东赶了出来。,,,,,,,,,,
,216,,,,,,这群人像沉默而具现的影子，跟在你身后。你去报警，作用微乎其微。,,,,,,,,,,
,217,,,,,,你想继续自己的剧作事业，但没有剧团敢收你的剧本，没有报社敢刊登你写的稿子，后来，你发现你的银行卡被查封。,,,,,,,,,,
,218,,,,,,不知过了多久，你再也没有办法生活下去，这群人把你带上车，送到了修道院——那个你从小长大的地方。,,,,,,,,,,
,219,,,,,,你的债务还清了。,,,,,,,,,,
,220,,,,,,结束完早祷，餐桌上，母亲一言不发。你明白，她知道了一切。,,,,,,,,,,
,221,,,,,,这些年的“叛逆”都成了笑话。,,,,,,,,,,
,222,,,,,,现在，你再也没有心力离开她了。,,,结局结束,,,,,,,
,223,,,,,黑屏,,,,场景弹窗,,,,,,,
,224,,,,,,,END,,跳转主界面,,,,,,,
,225,,旁白,,空,CG-陈姜对峙,你熟悉这种快要失控的情绪，锁住咽喉将它咽下。,,,CG渐入+音乐渐入,,,,,,,优雅的邪恶-Ludum Dare 38 08
,226,,姜韶平,,,CG-陈姜对峙-姜黑脸,抱歉，陈姐。,,,CG渐入,,,,,,,
,227,,,,,,我不能签。,,,,,,,,,,
,228,,陈玉澍,,,CG-陈姜对峙,年轻人有骨气是好事。,,,CG渐入,,,,,,,
,229,,,,,,可惜这骨气既不能当饭吃，也不能当钱花，当然也不能——,,,,,,,,,,
,230,,,,,,可惜这骨气既不能当饭吃，也不能当钱花，当然也不能——帮你在三个月内还清三十万了。,,,,,,,,,,
,231,,姜韶平,,,,三个月！？,,,,,,,,,,
,232,,旁白,,,,阿福又不知从哪里拿出来一份合约。,,,,,,,,,,
,233,,,,,,你忽然想起，那份投资合约在签署完后陈姐根本没有给过你。,,,,,,,,,,
,234,,阿福,,,,白底黑字。,,,,,,,,,,
,235,,阿宝,,,,黑字白底。,,,,,,,,,,
,236,,旁白,,,CG-陈姜对峙-姜看合约,你从阿福手中抽走那份合约，有关违约条款的内容写在一大段专业术语的间隙，看得人眼花缭乱。,,,CG渐入,,,,,,,
,237,,,,,,你好不容易定位到相关条款，上面确实写着“违约金支付期限三个月”。,,,,,,,,,,
,238,,姜韶平,,,,怎么会……我当时根本没有时间仔细看条款。,,,,,,,,,,
,239,,陈玉澍,,,,劝你别费那个钱找律师了，不然撑不到开庭之前就破产了。,,,,,,,,,,
,240,,,,,CG-陈姜对峙-陈递姜接,这份契据你拿去吧，有三个月的时间给你慢慢考虑。,,,CG渐入,,,,,,,
,241,,旁白,,,,你接过契据，几张纸的重量在你手中如有千钧。,,,,,,,,,,
,242,,陈玉澍,,,,时间也差不多了，阿福阿宝，送客。,,,,,,,,,,
,243,,旁白,,,黑屏,你在二人的护送下离开了。,,,音乐淡出,,,,,,,
,244,,,,,,临走前，你回头朝门缝里望了眼。陈姐正在沏茶，仿佛什么也没发生过。,,,,,,,,,,
,245,,空,,,黑屏,,,电梯上升,,,,,,,,
,246,,旁白,,,空,阿福和阿宝一直把你送到闸门处。,,,音效中止+背渐出,,,,,,,
,247,,,,,,阿福的态度明显比来时更加轻松，恶狠狠地伸了个懒腰。,,,,,,,,,,
,248,,阿福,,阿福-阿宝-阿福说话,,嗨呀！终于结束了！害我们休息日也跟着加班，都是你干的好事。,,,无刷屏转场+正渐入+背渐入+镜头特写0,,,,,,,
,249,,,,,,不过老妹啊，有骨气是好事，但我劝你赶紧签了得了，省得夜长梦多。,,,,,,,,,,
,250,,,,,,钱和人，老板总会要一个的。,,,,,,,,,,
,251,,阿宝,,阿福-阿宝-阿宝说话,,老板应该都想要吧？,,,,,,,,,,
,252,,姜韶平,姜韶平-委屈,,,我真搞不懂……陈姐为什么会这样对我。,,,,,,,,,,
,253,,阿宝,空,阿福-阿宝-阿宝说话,,因为，你很有才呀。,,,,,,,,,,
,254,,,,,,才能是最不可预估的东西，所以老板会想从源头上买断它。,,,,,,,,,,
