标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,音乐
,20,,夏伦母亲,空,夏伦母亲-遗憾,,她……挺有精神的。,,,,,,,,,,
,21,,旁白,,,,女人保养得当的脸庞露出些许疲惫的神色。,,,,,,,,,,
,22,,,,,,你记得她曾是位戏曲名伶，在那个年代也算是家喻户晓，不过在婚后便渐渐淡出了大众视野。,,,,,,,,,,
,23,,,,,,只是在你的印象里，她倒有点像这栋古宅中寄居的幽灵，总是穿着软底的羊皮拖鞋缓缓信步，无声地出现在宅子里的任何地方。,,,,,,,,,,
,24,,夏伦母亲,,夏伦母亲-说话,,提这么多东西来，客气了。,,,,,,,,,,
,25,,,,,,提这么多东西来，客气了。Maria，帮她拿下。,,,,,,,,,,
,26,,姜韶平,姜韶平-默认,,,谢谢，花我自己拿就好。,,,,,,,,,,
,27,,夏伦母亲,空,夏伦母亲-遗憾,,抱歉，亲爱的。,,,,,,,,,,
,28,,,,,,我想夏伦对花粉有些过敏。,,,,,,,,,,
,29,,姜韶平,姜韶平-惊讶,,,居然是这样吗……？还从来没听她说起过。,,,,,,,,,,
,30,,夏伦母亲,空,夏伦母亲-说话,,没关系，让Maria把你的花安置在别的地方吧。,,,,,,,,,,
,31,,旁白,,,,佣人接过你手中的东西，便转身下楼去了。,,,,,,,,,,
,32,,夏伦母亲,空,,,你还记得她的房间在哪吧？你去吧，我就不打扰你们了。,,,,,,,,,,
,33,,旁白,,空,,女人仍是那般慢条斯理地下楼了。,,,正渐出,,,,,,,
,34,,,,,,你知道夏伦不会在意，但还没见到病人就两手空空，总觉得有些不自在。,,,,,,,,,,
,35,黑屏,,,,黑屏,二楼的走廊又深又长，你还记得夏伦房间门上雕花的形状，走到门前敲了敲。,,,CG渐入,,,,,,,
,36,,,,,,,,敲门,,,,,,,,
,37,,夏伦,,,,——我不要，我不吃，我不用，谢谢。,,,,,,,,,,
,38,,姜韶平,姜韶平-尴尬,,,呃，是我，小夏？,,,,,,,,,,
,39,,夏伦,空,,,嗯？是小平吗？,,,,,,,,,,
,40,,,,,,快请进！,,,,,,,,,,
,41,,旁白,,,,你推开门，电视声一下流入安静的走廊。,,推木门,,,,,,,,
,42,场景-夏伦的房间,空,,,空,,,,CG渐出+场景弹窗,,,,,,,
,43,,旁白,,,,房间分内外两间，外面是书房和会客厅，再往里才是睡房，电视声就从里面传来。,,电视声音,,,,,,,,
,44,,,,,,你进到睡房。,,,,,,,,,,
,45,,,,夏伦-病号-平淡,空,夏伦正靠躺在床上，裹着绷带的右腿搭在被子上。,,,正立绘渐入+音乐渐入,,,,,,,夏伦-前钢琴后小提琴
,46,,,,夏伦-病号-疲惫,,夏伦正靠躺在床上，裹着绷带的右腿搭在被子上。她见你进来，眼底瞬间亮了下。,,,,,,,,,,
,47,,,,,,但她这幅样子，无论如何都和“没有大碍”沾不上边。,,,,,,,,,,
,48,,,,,,床上的人脸色苍白，短短几天消瘦了不少。纱布压着半边脸，显得很憔悴。,,,,,,,,,,
,49,,,,,,一想到几天前，面前的人还是那么光鲜靓丽，在舞台上闪闪发光，你就有种说不出的酸楚。,,,,,,,,,,
,50,,,,,,夏伦会发生意外，怎么都和你脱不开干系。,,,,,,,,,,
,51,,夏伦,空,夏伦-病号-疲惫,,…早上好，小平。,,,,,,,,,,
,52,,,,夏伦-病号-遗憾,,真遗憾我不能来迎接你。,,,,,,,,,,
,53,,旁白,,,,她的声音还带着些刚睡醒的沙哑。,,,,,,,,,,
,54,,,,,,你咽了咽喉，强忍下鼻尖的酸涩，挤出一个勉强的笑。,,,,,,,,,,
,55,,姜韶平,姜韶平-强颜欢笑,,,当然没事……,,,,,,,,,,
,56,,,姜韶平-无奈笑,,,……我本来带了花和水果，不过阿姨说你对花粉过敏，就……,,,,,,,,,,
,57,,旁白,空,空,,你走到床边。床边有一把椅子，床头柜上摆着几盒电影录像带，几本书，还有一盘削好的苹果。,,,正渐出,,,,,,,
,58,,,,,,果肉已经氧化发黄，没见有动口的痕迹。,,,,,,,,,,
,59,,夏伦,,夏伦-病号-闭眼叹气,,哪那么夸张……,,,正立绘渐入,,,,,,,
,60,,,,夏伦-病号-默认,,是什么花？我让人帮我插花瓶里。,,,,,,,,,,
,61,,姜韶平,姜韶平-默认,,,兰花。,,,,,,,,,,
,62,,,姜韶平-苦恼,,,所以……你现在感觉如何？,,,,,,,,,,
,63,,夏伦,空,夏伦-病号-装可怜,,很不好——,,,,,,,,,,
,64,,,,,,我快发霉了。,,,,,,,,,,
,65,,旁白,,夏伦-病号-疲惫,,她摇摇头，拿起遥控器把电视声音降到最低，任由画面无声地播放。,,,,,,,,,,
,66,,,,,,窗外有飞鸟的影子掠过，房间内安静得有些陌生。,,鸟拍翅膀,,,,,,,,
,67,,,,,,你的目光不由自主地落在她脸侧的纱布上。透过它，好像仍能看见那天的伤口浮现在眼前,,,音效中止,,,,,,,
,68,,,,,,你的目光不由自主地落在她脸侧的纱布上。透过它，好像仍能看见那天的伤口浮现在眼前——地上散落的道具深深扎进了皮肉，你眼睁睁看着那一幕发生，恐怕这辈子也忘不掉了。,,,,,,,,,,
,69,,,,夏伦-病号-移开目光,,察觉到你的视线，她将脸微微侧开，又笑着抚了抚那条伤腿。,,,,,,,,,,
,70,,夏伦,,夏伦-病号-闭眼笑,,没事的，死不了。,,,,,,,,,,
,71,,,,,,正好能休息休息。,,,,,,,,,,
,72,,旁白,,,,她说这话的时候语气很平，像在讲别人的事。,,,,,,,,,,
,73,,姜韶平,姜韶平-沮丧,,,小夏……,,,,,,,,,,
,74,,,,,,小夏……真的，真的很对不起，让你遭遇这样的事。,,,,,,,,,,
,75,,,姜韶平-严肃,,,既然发生在我的剧团里……我一定会想尽办法补偿你的。,,,,,,,,,,
,76,,夏伦,空,夏伦-病号-移开目光-说话,,…和你没关系的啦，别自责了。,,,,,,,,,,
,77,,,,夏伦-病号-疑问,,倒是陈太那边，没刁难你吧？,,,,,,,,,,
,78,,旁白,,,,何止是刁难……你回想起陈姐的面孔，又感到一阵恶寒。,,,,,,,,,,
,79,,,,,,但那是陈姐和你之间的事情，没必要让夏伦知道。,,,,,,,,,,
,80,,姜韶平,姜韶平-强颜欢笑,,,陈姐她……帮了我很多。,,,,,,,,,,
,81,,夏伦,空,夏伦-病号-默认,,嗯，那就好。,,,,,,,,,,
,82,,旁白,,空,,她拾起遥控器，把音量重新调高了些。,,电视声音,正渐出,,,,,,,
,83,,,,,,你看出来她不想再继续这个话题，便也心照不宣地闭了嘴。,,,,,,,,,,
,84,,夏伦,,夏伦-病号-默认,,看电影不？,,,正立绘渐入,,,,,,,
,85,,,,,,还记得这部吗？,,,,,,,,,,
,86,,姜韶平,姜韶平-疑问-无问号,,,这部是……,,,,,,,,,,
,87,,,姜韶平-默认,,,这部是……啊，好怀念啊。,,,,,,,,,,
,88,,旁白,空,空,,你认出了屏幕上的画面。,,,正渐出,,,,,,,
,89,,,,,,上次来夏伦家，你们就在这个房间里看过这部影片。,,,,,,,,,,
,90,,,,,,电影的主要角色几乎全是女性，据说还包含了同性间的情愫，你们为此期待了很久。,,,,,,,,,,
,91,,,,,,夏伦特意买来录像带，提前约好了日期。你费了好大劲才被准许出门。,,,,,,,,,,
,92,,,,,,等真正看完，却不知道该说什么——神秘、诡谲的氛围很足，片中描绘的戒律森严的贵族女校也令你们感同身受。,,,,,,,,,,
,93,,,,,,只是结局什么也没交代，失踪的女学生到底去了哪里？校长和女孩为什么自杀了？总之看得人云里雾里。,,,,,,,,,,
,94,,,,,,你没怎么看懂，却莫名地喜欢它。夏伦看得哈欠连连，最后给出两个字：烂片。,,,,,,,,,,
,95,,夏伦,,夏伦-病号-闭眼叹气,,这几天实在太无聊了，把家里的录像带翻了个遍，结果就翻到这部。,,,正立绘渐入,,,,,,,
,96,,旁白,,,,她瞥了眼桌上的录像带盒，语气满是倦怠。,,,,,,,,,,
,97,,夏伦,,夏伦-病号-不屑,,这么多年了，还是看不懂它想讲什么。果然就是部烂片吧。,,,,,,,,,,
,98,,姜韶平,姜韶平-默认,,,是吗，我记得我当时还蛮喜欢的。,,,,,,,,,,
,99,,夏伦,空,夏伦-病号-默认,,对哦，小平，你不是学的戏剧艺术吗，能不能给我解读一番？,,,,,,,,,,
,100,,姜韶平,姜韶平-说话,,,我们没有电影相关的课程啦……不过可以先重温一下。,,,,,,,,,,
,101,,旁白,空,空,,你在床边的椅子上坐下，夏伦摁住倒带键，屏幕里的影像开始高速倒退。,,,正渐出,,,,,,,
,102,,,,,,画面里的每个人都在被无形的力量往回拽，台词扭曲得像某种密语。,,,,,,,,,,
,103,,,,,,画面里的每个人都在被无形的力量往回拽，台词扭曲得像某种密语。倘若真的存在时光倒流，看上去应该就是这样滑稽的吧，你不禁想到。,,,,,,,,,,
,104,,夏伦,,夏伦-病号-疑问,,那你们都学些什么？,,,正立绘渐入,,,,,,,
,105,,姜韶平,姜韶平-说话,,,戏剧文学、场面调度…还有舞台布景之类的。经常要和表演系的同学一起排戏，比较杂。,,,,,,,,,,
,106,,夏伦,空,夏伦-病号-闭眼笑-不脸红,,哈哈，果然差不多，我们也经常要和制作系的同学一起排戏。,,,,,,,,,,
,107,,旁白,,空,,她说“我们”的时候，你知道她指的是她在伦敦的大学。,,,,,,,,,,
,108,,,,,,中学毕业后，你在本地，她在海外，隔了一整个大洲，却好像都在做着相同的事情。,,,,,,,,,,
,109,,,,,,电视里的画面还在倒退，女学生们从野外倒回学校，两个分别的好友又团聚了。,,,,,,,,,,
,110,,,,,,你忽然想起一件事。,,,,,,,,,,
,111,,姜韶平,姜韶平-说话,,,对了，小夏，你还记得——,,,,,,,,,,
,112,,旁白,空,,,<i>啪——</i>,,卡壳,音乐淡出,,,,,,,
,113,,,,,,画面散成一片灰白的雪花，房间内只留下电流的滋滋声。,,电视雪花,,,,,,,,
,114,,夏伦,,夏伦-病号-移开目光,,啧。,,,正立绘渐入,,,,,,,
,115,,姜韶平,姜韶平-尴尬,,,这是，坏了吗？,,,音效淡出,,,,,,,
,116,,夏伦,空,夏伦-病号-疑问,,Maria——,,,,,,,,,,
,117,,,,夏伦-病号-说话,,Maria——算了，小平，你能帮我把录像带取出来吗？,,,,,,,,,,
,118,,,,,,应该是带子断了。,,,,,,,,,,
,119,,空,,空,,,,,正渐出,,,,,,,
,120,,旁白,,,,你在电视柜前蹲下，摁下按钮，卡槽咔地一声弹出。,,录像带弹出,,,,,,,,
,121,,,,,,你取出录像带，有些烫手，还散发着一股塑料的焦臭。,,,音效淡出,,,,,,,
,122,,姜韶平,姜韶平-尴尬,,,还能修好吗…？,,,,,,,,,,
,123,,夏伦,空,夏伦-病号-平淡,,…扔了吧。,,,正立绘渐入,,,,,,,
,124,,姜韶平,姜韶平-装可怜,,,别呀，还是很有纪念意义的。,,,,,,,,,,
,125,,,姜韶平-默认,,,小夏不要的话，就送给我吧。,,,,,,,,,,
,126,,夏伦,空,夏伦-病号-疑问,,……你原来是这么念旧的人吗？,,,,,,,,,,
,127,,姜韶平,姜韶平-无奈笑,,,最近感觉有点吧……,,,,,,,,,,
,128,,夏伦,空,夏伦-病号-闭眼叹气,,…别说这种上年纪的话啊。,,,,,,,,,,
,129,,旁白,,空,,她看着你把那盘坏掉的磁带收进包里，撇撇嘴角，又摁下遥控器。,,,正渐出,,,,,,,
,130,,,,,,电视从雪花跳回新闻频道，画面里记者正站在发生事故的剧院门前做采访，受访的正是你认识的那位刘经理。据她说剧院明天就要重新营业了。,,广播,,,,,,,,
,131,,,,,,你听见夏伦浅笑一声。,,,,,,,,,,
,132,,夏伦,,夏伦-病号-平淡,,你这两天看新闻了吗？,,,正立绘渐入,,,,,,,
,133,,姜韶平,姜韶平-紧张,,,……我把收音机都关了。,,,,,,,,,,
,134,,夏伦,空,夏伦-病号-闭眼笑,,哈哈哈，那你错过了。,,,,,,,,,,
,135,,,,夏伦-病号-不屑,,我占了好多头条呢，都快比上我之前最火的戏了。,,,,,,,,,,
,136,,姜韶平,姜韶平-沮丧,,,…………,,,,,,,,,,
,137,,旁白,空,空,,她摁下关机键，屏幕中央闪过一道白光，电视啪地关闭了。,,关闭电视,正渐出+音效中止,,,,,,,
,138,,,,,,房间又重回有些不适的安静。,,,,,,,,,,
,139,,夏伦,,夏伦-病号-说话,,…对了，你刚才打算说什么来着？,,,正立绘渐入,,,,,,,
,140,,姜韶平,姜韶平-无奈笑,,,……也没什么…只是像你说的，忽然有些念旧。,,,,,,,,,,
,141,,,,,,你记得当时我有问过你毕业后的打算吗？,,,,,,,,,,
,142,,夏伦,空,夏伦-病号-移开目光,,好像是有。,,,,,,,,,,
,143,,姜韶平,姜韶平-无奈笑,夏伦-病号-平淡,,嗯…那时我就知道你肯定会上演艺类的学校，于是也就把那个作为目标，私底下做了好些功课呢。,,,,,,,,,,
,144,,,姜韶平-苦笑,,,结果，后来才知道你会出国……,,,,,,,,,,
,145,,,姜韶平-强颜欢笑,,,结果，后来才知道你会出国……不过也多亏那段时间的决心和准备，我才能真的离开修道院，考上演艺学院呢。,,,,,,,,,,
,146,,夏伦,空,夏伦-病号-移开目光,,……,,,,,,,,,,
,147,,,,夏伦-病号-默认,,我倒是对你这段经历很好奇。,,,,,,,,,,
,148,,姜韶平,姜韶平-默认,,,…也没什么特别的。,,,,,,,,,,
,149,,,姜韶平-眯眼笑,,,只是刚看到那部电影，忽然有些感慨罢了。,,,,,,,,,,
,150,,旁白,空,,,电影里，同班的孤儿爱慕着那位完美的女孩，但她却一声不响地消失了。后来，那名孤儿也自杀了。,,,,,,,,,,
,151,,,,,,不过至少她们都离开了。,,,,,,,,,,
,152,,夏伦,,夏伦-病号-闭眼叹气,,那可算不上什么好结局。,,,,,,,,,,
,153,,姜韶平,姜韶平-默认,,,是吧……我觉得其中肯定有某种隐喻，之后我会去研读一下相关评论的。,,,,,,,,,,
,154,,夏伦,空,夏伦-病号-平淡,,…不愧是你，好学究。,,,,,,,,,,
,155,,,,夏伦-病号-闭眼叹气,,行啦，我们在这又没电视看，就干聊天叙旧，感觉一天内年龄都长了十岁。,,,,,,,,,,
,156,,,,夏伦-病号-默认,,要不，你陪我去个地方吧。,,,,,,,,,,
,157,,姜韶平,姜韶平-疑问-无问号,,,但…你的腿可以吗？,,,,,,,,,,
,158,,夏伦,空,夏伦-病号-闭眼叹气,,再闷下去别说腿了，我整个人都要废了。,,,,,,,,,,
,159,,旁白,,,,见你有些犹豫，她又换上一幅狡猾的表情。,,,,,,,,,,
,160,,夏伦,,夏伦-病号-装可怜,,小平，你刚不是说想补偿我吗？,,,,,,,,,,
,161,,,,,,干脆之后就多来找我玩，陪我出去透透气呗。,,,,,,,,,,
,162,,,,,,我妈现在完全不让我出门，但要是你在，就有理由了。,,,,,,,,,,
,163,,姜韶平,姜韶平-装可怜,,,唔……只要不会影响你养伤的话……,,,,,,,,,,
,164,,,姜韶平-严肃,,,但太激烈的活动可不行。,,,,,,,,,,
,165,,夏伦,空,夏伦-病号-闭眼笑,,不会的啦。,,,,,,,,,,
,166,,,,夏伦-病号-默认,,那就这样说定了。,,,,,,,,,,
,167,,,,夏伦-病号-闭眼笑-不脸红,,那就这样说定了。别担心，既然占用了你的时间，我会付你报酬的~,,,,,,,,,,
,168,,旁白,,空,,<i>已解锁角色打工：陪伴夏伦</i>,,解锁音效,正渐出,,,,,,,
,169,,,,,,她摁了下床边一个连着电线的按钮，Maria很快进来了。,,推木门,,,,,,,,
,170,,夏伦,,,,我换个衣服，你去楼下等等我吧。,,,,,,,,,,
,171,,姜韶平,姜韶平-默认,,,好。,,,,,,,,,,
,172,黑屏,旁白,空,空,黑屏,你从睡房出来，穿过书房时，忽然察觉到一丝违和感。,,,CG渐入,,,,,,,
,173,,,,,,总觉得这个房间里……是不是少了些什么？,,,,,,,,,,
,174,,,,,,你一边思索着，沿着走廊再次来到一楼。,,下楼,,,,,,,,
,175,场景-夏伦的家,,,,,,,,刷屏转场,,,,,,,
,176,,,,,空,一楼的会客厅正朝着屋外的花园，花园外围长了一排排高茂的木棉花树，将整座宅子隐藏在林间。,,,音效淡出,,,,,,,
,177,,姜韶平,姜韶平-默认,,,景观真好……,,,,,,,,,,
,178,,夏伦母亲,空,,,亲爱的，你在这里做什么？,,,,,,,,,,
,179,,旁白,,夏伦母亲-抱狗-默认,,宅子的主人忽然出现在你身后，吓了你一跳。,,,,,,,,,,
,180,,,,,,她怀里抱着一只小狗，小狗也被你忽然的转身吓了一跳。,,,正立绘渐入+音乐渐入,,,,,,,伦妈压迫感
,181,,姜韶平,姜韶平-尴尬,,,啊，阿姨好……小夏正换衣服呢，我就下来了。,,,,,,,,,,
,182,,夏伦母亲,空,夏伦母亲-抱狗-惊讶,,…她要出去？,,,,,,,,,,
,183,,旁白,,,,面前这位女士说话语调十分平和，温柔地安抚着怀中受惊的小狗。,,,,,,,,,,
,184,,,,,,面前这位女士说话语调十分平和，温柔地安抚着怀中受惊的小狗。只是不知为何，和她说话时，你总有一种隐隐的不自在。,,,,,,,,,,
,185,,姜韶平,姜韶平-紧张,,,嗯…她说呆房间里太闷了，想透透气……,,,,,,,,,,
,186,,夏伦母亲,空,夏伦母亲-抱狗-惊讶,,…这样啊。,,,,,,,,,,
,187,,,,夏伦母亲-抱狗-说话,,那你们注意安全。我派车送你们。,,,,,,,,,,
,188,,姜韶平,,,,（居然就这样同意了吗？）,,,,,,,,,,
,189,,,姜韶平-默认,,,嗯，我会照顾好小夏的，谢谢阿姨。,,,,,,,,,,
,190,,夏伦母亲,空,夏伦母亲-抱狗-愠怒,,我不是说这个。,,,,,,,,,,
,191,,,,,,你们别被拍到了。尤其是夏伦这副样子。,,,,,,,,,,
,192,,姜韶平,姜韶平-惊讶,,,……啊。,,,,,,,,,,
,193,,夏伦母亲,空,夏伦母亲-抱狗-说话,,她会去的地方就那么几个，直接从车上进VIP通道就行，应该没什么问题。,,,,,,,,,,
,194,,,,,,你注意挡着点她。,,,,,,,,,,
,195,,,,,,车晚上8点会把你们送回来。,,,,,,,,,,
,196,,旁白,,夏伦母亲-抱狗-默认,,看似周到的安排中潜藏着某种不容置疑的意味，你的不适加深了。,,,,,,,,,,
,197,,姜韶平,姜韶平-紧张,,,嗯嗯……我们会注意的。有劳您这么周到。,,,,,,,,,,
,198,,旁白,空,,,你想找个借口走开，迫于维持在长辈前的礼仪，只能在原地如坐针毡。,,,,,,,,,,
,199,,姜韶平,,,,（小夏怎么还没好？）,,,,,,,,,,
,200,,夏伦母亲,空,夏伦母亲-抱狗-遗憾,,挺可惜的，你们这样刚出社会的年轻人，就遇到这种事。,,,,,,,,,,
,201,,姜韶平,姜韶平-难受,,,……我也感到很抱歉。我一定会想办法弥补的。,,,,,,,,,,
,202,,旁白,空,夏伦母亲-抱狗-愠怒,,她忽然眯起眼，一瞬冰冷刺骨的目光穿透了你，眨眼又恢复如初。,,,,,,,,,,
,203,,夏伦母亲,,,,…不是你的问题吧？,,,,,,,,,,
,204,,姜韶平,姜韶平-尴尬,,,您是指……？,,,,,,,,,,
,205,,夏伦母亲,空,,,我说夏伦，是她自己失足的，不是你的问题吧？,,,,,,,,,,
,206,,姜韶平,姜韶平-严肃-右下侧目,,,…………,,,,,,,,,,
,207,,旁白,空,,,你不想回答这个问题。,,,,,,,,,,
,208,,,,夏伦母亲-抱狗-默认,,见你沉默，她的语气又缓和了下来。,,,,,,,,,,
,209,,夏伦母亲,,夏伦母亲-抱狗-遗憾,,亲爱的，我没别的意思。,,,,,,,,,,
,210,,,,,,发生这样的不幸，我们都很遗憾。,,,,,,,,,,
,211,,旁白,,空,,那只小狗开始呜咽，扭动着身体想要挣脱怀抱，女人将狗搂得更紧了些。,,,正渐出,,,,,,,
,212,,夏伦母亲,,夏伦母亲-抱狗-遗憾,,别闹，我的宝贝。,,,正立绘渐入,,,,,,,
,213,,,,,,抱歉，她今天有点不乖。,,,,,,,,,,
,214,,姜韶平,姜韶平-说话,,,……它看上去想下来，狗狗应该更喜欢在地上跑吧？,,,,,,,,,,
,215,,夏伦母亲,空,夏伦母亲-抱狗-默认,,呵呵，没有。,,,,,,,,,,
,216,,,,夏伦母亲-抱狗-说话,,她从小就喜欢被我抱着。,,,,,,,,,,
,217,,,,,,她现在得喝水了。你们去吧，记得我说的。,,,,,,,,,,
,218,,旁白,,空,,女人抱着狗，再次无声地离开了。,,,正渐出,,,,,,,
,219,,,,,,你终于松了口气，有些脱力地坐在沙发上。,,,坐沙发,,,,,,,
,220,,,,,,目光漫无目的地在房间里游走，你忽然意识到那种说不清的异样感究竟从何而来。,,,,,,,,,,
,221,,,,,,你发现这栋宅子从一楼到二楼，从会客厅到夏伦住了二十几年的房间，每一处的装潢与布局都如出一辙，几乎找不到任何个人生活的痕迹。,,,,,,,,,,
,222,,,,,,仿佛每个角落都只是这座宅子向内复制延伸的空间，在某种意志的掌控下整体合一，没有任何分别。,,,,,,,,,,
,223,,,,,,现在你有点明白，为什么夏伦不愿呆在家里了。,,,,,,,,,,
,224,黑屏,空,,空,黑屏,,,,CG渐入+自动转场,,,,,,,
,225,场景-夏伦的家,夏伦,,,空,小平？你在想事情吗？,,,,,,,,,,
,226,,旁白,,夏伦-马服-勉强笑-冷汗,,你回头，夏伦穿戴整齐，杵着根木制拐杖，神色比起刚才好上不少，但你还是注意到她的脸上渗出了些虚汗。,,,正立绘渐入,,,,,,,
,227,,姜韶平,姜韶平-苦恼,,,没什么……倒是你这样，真的能出门吗？,,,,,,,,,,
,228,,Maria,空,,,就是呀小姐，坐个轮椅吧，轻松不受罪。,,,,,,,,,,
,229,,夏伦,,夏伦-马服-闭眼,,我又不是腿断了。刚才楼梯都下来了，走两步可以的。,,,,,,,,,,
,230,,,,夏伦-马服-闭眼笑,,实在不行，小平可以扶我啊~,,,,,,,,,,
,231,,旁白,,空,,你赶紧踱到她左侧，紧紧挽住她的手臂。,,,正渐出,,,,,,,
,232,,,,,,夏伦语气轻松，但走的每一步都很谨慎。,,,,,,,,,,
,233,,,,,,从身体紧贴的部分能感受到对方因对拐杖使用的不熟练而绷紧的躯体，你只得抓得更紧，想让她尽量将身体的重量朝你倾。,,,,,,,,,,
,234,场景-夏伦家别墅,,,,,光是从客厅走到屋外就令你出了身汗，幸好车直接停在门口，你把夏伦扶进了车。,,,,,,,,,,
,235,,,,,,开出花园时，你似乎瞥见大门外的垃圾桶里，,,汽车启动,,,,,,,,
,236,,,,,,开出花园时，你似乎瞥见大门外的垃圾桶里，露出了一截兰花。,,,,,,,,,,
,237,黑屏,空,,空,黑屏,,,车子行进,CG渐入+音乐淡出+自动转场,,,,,,,
,238,场景-赛马场,,,,空,,,,场景弹窗+音效淡出,,,,,,,
,239,,姜韶平,姜韶平-疑问-无问号,,,我还是第一次来这里……,,,,,,,,,,
,240,,旁白,空,,,从宽阔的落地窗望出去，外面是一片巨大的赛马场，下方的看台都已经坐满了人。,,,,,,,,,,
,241,,,,,,虽然你从没来过，但凭着这项运动在此地的受欢迎程度，也多少略知一二。,,,,,,,,,,
,242,场景-赛马会包厢,夏伦,,夏伦-马服-默认,,视野不错吧。,,,正立绘渐+音乐渐入,,,,,,,ryan-walz-main-version-01-34-3632
,243,,,,夏伦-马服-闭眼笑,,呼——外面的空气舒畅多了。,,,,,,,,,,
,244,,旁白,,,,夏伦靠在沙发上，舒适地伸展四肢，服务人员将她的伤腿安置在软凳上，就出去了。硕大的包厢内只留你们二人。,,,,,,,,,,
,245,,姜韶平,姜韶平-无奈笑,,,可我们现在不是在冷气房里吗…,,,,,,,,,,
,246,,夏伦,空,夏伦-马服-闭眼说话,,那也不一样。,,,,,,,,,,
,247,,,,夏伦-马服-默认,,这么大的窗户，和坐在外面没什么区别。,,,,,,,,,,
,248,,,,夏伦-马服-开朗,,怎么样？要下个注玩玩吗？,,,,,,,,,,
,249,,旁白,,空,,她说着翻起茶几上摆放的小册子，你也拿起一本，里面是今日的赛程表和参赛选手的介绍。,,翻一页,正渐出,,,,,,,
,250,,姜韶平,姜韶平-说话,,,我倒不懂这些……,,,,,,,,,,
,251,,,姜韶平-平淡,,,我倒不懂这些……嗯？,,,,,,,,,,
,252,,旁白,空,,,你随手翻阅着，注意到其中一匹名叫“锦绣前程”的英国纯血马。,,,,,,,,,,
,253,,姜韶平,姜韶平-疑问,,,这匹马的主人……是你吗，小夏？,,,,,,,,,,
,254,,夏伦,空,夏伦-马服-开朗,,是呀。它可厉害了，已经跑了两次冠军呢。,,,正立绘渐入,,,,,,,
,255,,旁白,,夏伦-马服-默认,,她摁下沙发扶手上的按钮，很快进来一名投注员，手里拿着一个黑色的机器。,,,,,,,,,,
,256,,投注员,,,,夏老板今天投什么？,,,,,,,,,,
,257,,夏伦,,夏伦-马服-开朗,,我当然押我的“锦绣前程”跑第一了。,,,,,,,,,,
,258,,,,,,我当然押我的“锦绣前程”跑第一了。小平，你押哪匹？,,,,,,,,,,
,259,,姜韶平,姜韶平-说话,空,,我……,,,正渐出,,,,,,,
&,260,,空,,,,下个注吧,263,,中,,,,,,,
&,261,,,,,,还是不了,283,,中,,,,,,,
#,262,,旁白,空,,,夏伦看起来挺有兴致，来都来了，还是别扫兴吧。,,,,,,,,,,
,263,,姜韶平,姜韶平-思考,,,我想想……,,,,,,,,,,
,264,,,姜韶平-默认,,,我也不太懂，要不我和你买一样的吧。,,,,,,,,,,
,265,,夏伦,空,夏伦-马服-挑眉,,确定吗？鸡蛋最好要放在不同的篮子里。,,,正立绘渐入,,,,,,,
,266,,,,,,你也可以买位置，选一匹进前三的马。,,,,,,,,,,
